コード	前	後
JP-PRTR-C1-71	Ｓ―エチル＝ヘキサヒドロ―一Ｈ―アゼピン―一―カルボチオアート（別名モリネート）	Ｓ－エチル＝ヘキサヒドロ－１Ｈ－アゼピン－１－カルボチオアート（別名モリネート）
JP-PRTR-C1-72	エチル＝（Ｚ）―三―［Ｎ―ベンジル―Ｎ―［［メチル（一―メチルチオエチリデンアミノオキシカルボニル）アミノ］チオ］アミノ］プロピオナート（別名アラニカルブ）	エチル＝（Ｚ）－３－［Ｎ－ベンジル－Ｎ－［［メチル（１－メチルチオエチリデンアミノオキシカルボニル）アミノ］チオ］アミノ］プロピオナート（別名アラニカルブ）
JP-PRTR-C1-74	Ｏ―エチル＝Ｓ―一―メチルプロピル＝（二―オキソ―三―チアゾリジニル）ホスホノチオアート（別名ホスチアゼート）	Ｏ－エチル＝Ｓ－１－メチルプロピル＝（２－オキソ－３－チアゾリジニル）ホスホノチオアート（別名ホスチアゼート）
JP-PRTR-C1-81	Ｎ・Ｎ′―エチレンビス（ジチオカルバミン酸）マンガン（別名マンネブ）	Ｎ，Ｎ’－エチレンビス（ジチオカルバミン酸）マンガン（別名マンネブ）
JP-PRTR-C1-82	Ｎ・Ｎ′―エチレンビス（ジチオカルバミン酸）マンガンとＮ・Ｎ′―エチレンビス（ジチオカルバミン酸）亜鉛の錯化合物（別名マンコゼブ又はマンゼブ）	Ｎ，Ｎ’－エチレンビス（ジチオカルバミン酸）マンガンとＮ，Ｎ’－エチレンビス（ジチオカルバミン酸）亜鉛の錯化合物（別名マンコゼブ又はマンゼブ）
JP-PRTR-C1-83	一・一′―エチレン―二・二′―ビピリジニウム＝ジブロミド（別名ジクアトジブロミド又はジクワット）	１，１’－エチレン－２，２’－ビピリジニウム＝ジブロミド（別名ジクアトジブロミド又はジクワット）
JP-PRTR-C1-84	（四―エトキシフェニル）［三―（四―フルオロ―三―フェノキシフェニル）プロピル］ジメチルシラン（別名シラフルオフェン）	（４－エトキシフェニル）［３－（４－フルオロ－３－フェノキシフェニル）プロピル］ジメチルシラン（別名シラフルオフェン）
JP-PRTR-C1-85	二―（四―エトキシフェニル）―二―メチルプロピル＝三―フェノキシベンジルエーテル（別名エトフェンプロックス）	２－（４－エトキシフェニル）－２－メチルプロピル＝３－フェノキシベンジルエーテル（別名エトフェンプロックス）
JP-PRTR-C1-87	一・二―エポキシブタン	１，２－エポキシブタン
JP-PRTR-C1-88	一・二―エポキシプロパン（別名酸化プロピレン）	１，２－エポキシプロパン（別名酸化プロピレン）
JP-PRTR-C1-89	塩化パラフィン（炭素数が十から十三までのもの及びその混合物に限る。）	塩化パラフィン（炭素数が１０から１３までのもの及びその混合物に限る。）
JP-PRTR-C1-90	塩化直鎖パラフィン（炭素数が十四から十七までのもの及びその混合物に限る。）	塩化直鎖パラフィン（炭素数が１４から１７までのもの及びその混合物に限る。）
JP-PRTR-C1-92	オキサシクロヘキサデカン―二―オン	オキサシクロヘキサデカン－２－オン
JP-PRTR-C1-93	四・四′―オキシビスベンゼンスルホニルヒドラジド	４，４’－オキシビスベンゼンスルホニルヒドラジド
JP-PRTR-C1-94	一―オクタノール	１－オクタノール
JP-PRTR-C1-101	二・四―キシレノール	２，４－キシレノール
JP-PRTR-C1-102	二・六―キシレノール	２，６－キシレノール
JP-PRTR-C1-111	クロム及び三価クロム化合物	クロム及び３価クロム化合物
JP-PRTR-C1-112	六価クロム化合物	６価クロム化合物
JP-PRTR-C1-114	一―（二―クロロイミダゾ［一・二―ａ］ピリジン―三―イルスルホニル）―三―（四・六―ジメトキシピリミジン―二―イル）尿素（別名イマゾスルフロン）	１－（２－クロロイミダゾ［１，２－ａ］ピリジン－３－イルスルホニル）－３－（４，６－ジメトキシピリミジン－２－イル）尿素（別名イマゾスルフロン）
JP-PRTR-C1-115	二―クロロ―四―エチルアミノ―六―イソプロピルアミノ―一・三・五―トリアジン（別名アトラジン）	２－クロロ－４－エチルアミノ－６－イソプロピルアミノ－１，３，５－トリアジン（別名アトラジン）
JP-PRTR-C1-116	二―（四―クロロ―六―エチルアミノ―一・三・五―トリアジン―二―イル）アミノ―二―メチルプロピオノニトリル（別名シアナジン）	２－（４－クロロ－６－エチルアミノ－１，３，５－トリアジン－２－イル）アミノ－２－メチルプロピオノニトリル（別名シアナジン）
JP-PRTR-C1-117	四―クロロ―三―エチル―一―メチル―Ｎ―［四―（パラトリルオキシ）ベンジル］ピラゾール―五―カルボキサミド（別名トルフェンピラド）	４－クロロ－３－エチル－１－メチル－Ｎ－［４－（パラトリルオキシ）ベンジル］ピラゾール－５－カルボキサミド（別名トルフェンピラド）
JP-PRTR-C1-118	二―クロロ―二′―エチル―Ｎ―（二―メトキシ―一―メチルエチル）―六′―メチルアセトアニリド（別名メトラクロール）	２－クロロ－２’－エチル－Ｎ－（２－メトキシ－１－メチルエチル）－６’－メチルアセトアニリド（別名メトラクロール）
JP-PRTR-C1-119	二―クロロ―二′―エチル―Ｎ―［（一Ｓ）―二―メトキシ―一―メチルエチル］―六′―メチルアセトアニリド及び二―クロロ―二′―エチル―Ｎ―［（一Ｒ）―二―メトキシ―一―メチルエチル］―六′―メチルアセトアニリドの混合物（二―クロロ―二′―エチル―Ｎ―［（一Ｓ）―二―メトキシ―一―メチルエチル］―六′―メチルアセトアニリドの含有率が八十重量パーセント以上のものに限る。）（別名Ｓ―メトラクロール）	２－クロロ－２’－エチル－Ｎ－［（１Ｓ）－２－メトキシ－１－メチルエチル］－６’－メチルアセトアニリド及び２－クロロ－２’－エチル－Ｎ－［（１Ｒ）－２－メトキシ－１－メチルエチル］－６’－メチルアセトアニリドの混合物（２－クロロ－２’－エチル－Ｎ－［（１Ｓ）－２－メトキシ－１－メチルエチル］－６’－メチルアセトアニリドの含有率が八十重量パーセント以上のものに限る。）（別名Ｓ－メトラクロール）
JP-PRTR-C1-121	三―クロロ―Ｎ―（三―クロロ―五―トリフルオロメチル―二―ピリジル）―アルファ・アルファ・アルファ―トリフルオロ―二・六―ジニトロ―パラ―トルイジン（別名フルアジナム）	３－クロロ－Ｎ－（３－クロロ－５－トリフルオロメチル－２－ピリジル）－アルファ・アルファ・アルファ－トリフルオロ－２，６－ジニトロ－パラ－トルイジン（別名フルアジナム）
JP-PRTR-C1-122	一―［［二―［二―クロロ―四―（四―クロロフェノキシ）フェニル］―四―メチル―一・三―ジオキソラン―二―イル］メチル］―一Ｈ―一・二・四―トリアゾール（別名ジフェノコナゾール）	１－［［２－［２－クロロ－４－（４－クロロフェノキシ）フェニル］－４－メチル－１，３－ジオキソラン－２－イル］メチル］－１Ｈ－１，２，４－トリアゾール（別名ジフェノコナゾール）
JP-PRTR-C1-124	二―クロロ―二′・六′―ジエチル―Ｎ―（二―プロポキシエチル）アセトアニリド（別名プレチラクロール）	２－クロロ－２’・６’－ジエチル－Ｎ－（２－プロポキシエチル）アセトアニリド（別名プレチラクロール）
JP-PRTR-C1-125	二―クロロ―二′・六′―ジエチル―Ｎ―（メトキシメチル）アセトアニリド（別名アラクロール）	２－クロロ－２’・６’－ジエチル－Ｎ－（メトキシメチル）アセトアニリド（別名アラクロール）
JP-PRTR-C1-126	三―（四―クロロ―五―シクロペンチルオキシ―二―フルオロフェニル）―五―イソプロピリデン―一・三―オキサゾリジン―二・四―ジオン（別名ペントキサゾン）	３－（４－クロロ－５－シクロペンチルオキシ－２－フルオロフェニル）－５－イソプロピリデン－１，３－オキサゾリジン－２，４－ジオン（別名ペントキサゾン）
JP-PRTR-C1-127	五―クロロ―二―（二・四―ジクロロフェノキシ）フェノール（別名トリクロサン）	５－クロロ－２－（２，４－ジクロロフェノキシ）フェノール（別名トリクロサン）
JP-PRTR-C1-128	（ＲＳ）―五―クロロ―Ｎ―（一・三―ジヒドロ―一・一・三―トリメチルイソベンゾフラン―四―イル）―一・三―ジメチル―一Ｈ―ピラゾール―四―カルボキサミド（別名フラメトピル）	（ＲＳ）－５－クロロ－Ｎ－（１，３－ジヒドロ－１，１，３－トリメチルイソベンゾフラン－４－イル）－１，３－ジメチル－１Ｈ－ピラゾール－４－カルボキサミド（別名フラメトピル）
JP-PRTR-C1-129	一―クロロ―一・一―ジフルオロエタン（別名ＨＣＦＣ―一四二ｂ）	１－クロロ－１，１－ジフルオロエタン（別名ＨＣＦＣ－１４２ｂ）
JP-PRTR-C1-130	クロロジフルオロメタン（別名ＨＣＦＣ―二二）	クロロジフルオロメタン（別名ＨＣＦＣ－２２）
JP-PRTR-C1-131	三′―クロロ―四・四′―ジメチル―一・二・三―チアジアゾール―五―カルボキサニリド（別名チアジニル）	３’－クロロ－４，４’－ジメチル－１，２，３－チアジアゾール－５－カルボキサニリド（別名チアジニル）
JP-PRTR-C1-132	（ＲＳ）―二―クロロ―Ｎ―（二・四―ジメチル―三―チエニル）―Ｎ―（二―メトキシ―一―メチルエチル）アセトアミド（別名ジメテナミド）	（ＲＳ）－２－クロロ－Ｎ－（２，４－ジメチル－３－チエニル）－Ｎ－（２－メトキシ－１－メチルエチル）アセトアミド（別名ジメテナミド）
JP-PRTR-C1-133	（Ｓ）―二―クロロ―Ｎ―（二・四―ジメチル―三―チエニル）―Ｎ―（二―メトキシ―一―メチルエチル）アセトアミド（別名ジメテナミドＰ）	（Ｓ）－２－クロロ－Ｎ－（２，４－ジメチル－３－チエニル）－Ｎ－（２－メトキシ－１－メチルエチル）アセトアミド（別名ジメテナミドＰ）
JP-PRTR-C1-134	三―クロロ―Ｎ―（四・六―ジメトキシピリミジン―二―イルカルバモイル）―一―メチル―四―（五―メチル―五・六―ジヒドロ―一・四・二―ジオキサジン―三―イル）ピラゾール―五―スルホンアミド（別名メタゾスルフロン）	３－クロロ－Ｎ－（４，６－ジメトキシピリミジン－２－イルカルバモイル）－１－メチル－４－（５－メチル－５，６－ジヒドロ－１，４，２－ジオキサジン－３－イル）ピラゾール－５－スルホンアミド（別名メタゾスルフロン）
JP-PRTR-C1-135	三―（二―クロロ―一・三―チアゾール―五―イルメチル）―五―メチル―Ｎ―ニトロ―一・三・五―オキサジアジナン―四―イミン（別名チアメトキサム）	３－（２－クロロ－１，３－チアゾール－５－イルメチル）－５－メチル－Ｎ－ニトロ－１，３，５－オキサジアジナン－４－イミン（別名チアメトキサム）
JP-PRTR-C1-136	（Ｅ）―一―（二―クロロ―一・三―チアゾール―五―イルメチル）―三―メチル―二―ニトログアニジン（別名クロチアニジン）	（Ｅ）－１－（２－クロロ－１，３－チアゾール－５－イルメチル）－３－メチル－２－ニトログアニジン（別名クロチアニジン）
JP-PRTR-C1-137	二―クロロ―一・一・一・二―テトラフルオロエタン（別名ＨＣＦＣ―一二四）	２－クロロ－１，１，１，２－テトラフルオロエタン（別名ＨＣＦＣ－１２４）
JP-PRTR-C1-138	クロロトリフルオロエタン（別名ＨＣＦＣ―一三三）	クロロトリフルオロエタン（別名ＨＣＦＣ－１３３）
JP-PRTR-C1-139	（ＲＳ）―二―（四―クロロ―オルト―トリルオキシ）プロピオン酸（別名メコプロップ）	（ＲＳ）－２－（４－クロロ－オルト－トリルオキシ）プロピオン酸（別名メコプロップ）
JP-PRTR-C1-140	二―クロロ―四・六―ビス（エチルアミノ）―一・三・五―トリアジン（別名シマジン又はＣＡＴ）	２－クロロ－４，６－ビス（エチルアミノ）－１，３，５－トリアジン（別名シマジン又はＣＡＴ）
JP-PRTR-C1-141	トランス―Ｎ―（六―クロロ―三―ピリジルメチル）―Ｎ′―シアノ―Ｎ―メチルアセトアミジン（別名アセタミプリド）	トランス－Ｎ－（６－クロロ－３－ピリジルメチル）－Ｎ’－シアノ－Ｎ－メチルアセトアミジン（別名アセタミプリド）
JP-PRTR-C1-142	一―（六―クロロ―三―ピリジルメチル）―Ｎ―ニトロイミダゾリジン―二―イリデンアミン（別名イミダクロプリド）	１－（６－クロロ－３－ピリジルメチル）－Ｎ－ニトロイミダゾリジン－２－イリデンアミン（別名イミダクロプリド）
JP-PRTR-C1-143	三―（六―クロロピリジン―三―イルメチル）―一・三―チアゾリジン―二―イリデンシアナミド（別名チアクロプリド）	３－（６－クロロピリジン－３－イルメチル）－１，３－チアゾリジン－２－イリデンシアナミド（別名チアクロプリド）
JP-PRTR-C1-144	四―（二―クロロフェニル）―Ｎ―シクロヘキシル―Ｎ―エチル―四・五―ジヒドロ―五―オキソ―一Ｈ―テトラゾール―一―カルボキサミド（別名フェントラザミド）	４－（２－クロロフェニル）－Ｎ－シクロヘキシル－Ｎ－エチル－４，５－ジヒドロ－５－オキソ－１Ｈ－テトラゾール－１－カルボキサミド（別名フェントラザミド）
JP-PRTR-C1-145	（ＲＳ）―一―パラ―クロロフェニル―四・四―ジメチル―三―（一Ｈ―一・二・四―トリアゾール―一―イルメチル）ペンタン―三―オール（別名テブコナゾール）	（ＲＳ）－１－パラ－クロロフェニル－４，４－ジメチル－３－（１Ｈ－１，２，４－トリアゾール－１－イルメチル）ペンタン－３－オール（別名テブコナゾール）
JP-PRTR-C1-146	パラ―クロロフェノール	パラ－クロロフェノール
JP-PRTR-C1-147	三―クロロプロペン（別名塩化アリル）	３－クロロプロペン（別名塩化アリル）
JP-PRTR-C1-148	一―（二―クロロベンジル）―三―（一―メチル―一―フェニルエチル）尿素（別名クミルロン）	１－（２－クロロベンジル）－３－（１－メチル－１－フェニルエチル）尿素（別名クミルロン）
JP-PRTR-C1-150	クロロペンタフルオロエタン（別名ＣＦＣ―一一五）	クロロペンタフルオロエタン（別名ＣＦＣ－１１５）
JP-PRTR-C1-152	二―［二―クロロ―四―メシル―三―［（テトラヒドロフラン―二―イルメトキシ）メチル］ベンゾイル］シクロヘキサン―一・三―ジオン（別名テフリルトリオン）	２－［２－クロロ－４－メシル－３－［（テトラヒドロフラン－２－イルメトキシ）メチル］ベンゾイル］シクロヘキサン－１，３－ジオン（別名テフリルトリオン）
JP-PRTR-C1-153	三―（二―クロロ―四―メシルベンゾイル）―四―フェニルスルファニルビシクロ［三・二・一］オクタ―三―エン―二―オン（別名ベンゾビシクロン）	３－（２－クロロ－４－メシルベンゾイル）－４－フェニルスルファニルビシクロ［３．２．１］オクタ－３－エン－２－オン（別名ベンゾビシクロン）
JP-PRTR-C1-155	（Ｅ）―Ｎ―［二―クロロ―五―［一―（六―メチルピリジン―二―イルメトキシイミノ）エチル］ベンジル］カルバミン酸メチル（別名ピリベンカルブ）	（Ｅ）－Ｎ－［２－クロロ－５－［１－（６－メチルピリジン－２－イルメトキシイミノ）エチル］ベンジル］カルバミン酸メチル（別名ピリベンカルブ）
JP-PRTR-C1-157	酢酸二―エトキシエチル（別名エチレングリコールモノエチルエーテルアセテート）	酢酸２－エトキシエチル（別名エチレングリコールモノエチルエーテルアセテート）
JP-PRTR-C1-160	酢酸二―メトキシエチル（別名エチレングリコールモノメチルエーテルアセテート）	酢酸２－メトキシエチル（別名エチレングリコールモノメチルエーテルアセテート）
JP-PRTR-C1-162	トランス―一―（二―シアノ―二―メトキシイミノアセチル）―三―エチル尿素（別名シモキサニル）	トランス－１－（２－シアノ－２－メトキシイミノアセチル）－３－エチル尿素（別名シモキサニル）
JP-PRTR-C1-163	四・四′―ジアミノジフェニルエーテル	４，４’－ジアミノジフェニルエーテル
JP-PRTR-C1-167	Ｏ―二―ジエチルアミノ―六―メチルピリミジン―四―イル＝Ｏ・Ｏ―ジメチル＝ホスホロチオアート（別名ピリミホスメチル）	Ｏ－２－ジエチルアミノ－６－メチルピリミジン－４－イル＝Ｏ，Ｏ－ジメチル＝ホスホロチオアート（別名ピリミホスメチル）
JP-PRTR-C1-168	Ｎ・Ｎ―ジエチルチオカルバミン酸Ｓ―四―クロロベンジル（別名チオベンカルブ又はベンチオカーブ）	Ｎ，Ｎ－ジエチルチオカルバミン酸Ｓ－４－クロロベンジル（別名チオベンカルブ又はベンチオカーブ）
