伝票番号,出荷数量,製品コード,購入数量,製品名,備考
DN-2025038,8634,PRTR-P039,13955,"防錆油 R-1 139",
DN-2025039,12297,PRTR-P040,16897,"印刷インキ 紅 140",
DN-2025040,18634,PRTR-P041,21836,"離型剤 M-1 141",
DN-2025041,9022,PRTR-P042,11905,"床用コーティング 標準 142",
DN-2025042,1285,PRTR-P043,1657,"溶剤系塗料 赤さび 143",月次まとめ
DN-2025043,1244,PRTR-P044,2154,"2液ウレタン塗料 主剤 緑 144",
DN-2025044,1020,PRTR-P045,1518,"2液ウレタン塗料 硬化剤 標準 145",
DN-2025045,18661,PRTR-P046,23062,"エポキシプライマー 赤さび 146",
DN-2025046,14247,PRTR-P047,20105,"ラッカーシンナー 冬用 147",
DN-2025047,7532,PRTR-P048,8443,"ウレタンシンナー U-10 148",
DN-2025048,9249,PRTR-P049,12330,"洗浄用シンナー C-90 149",
DN-2025049,5131,PRTR-P050,7878,"接着剤（溶剤形） G-17 150",月次まとめ
DN-2025050,452,PRTR-P051,539,"接着剤（水性） W-2 151",
DN-2025051,4680,PRTR-P052,8367,"樹脂ワニス V-10 152",
DN-2025052,8440,PRTR-P053,11776,"防錆油 R-2 153",
DN-2025053,12179,PRTR-P054,16857,"印刷インキ 黄 154",
DN-2025054,13924,PRTR-P055,15666,"離型剤 M-5 155",
DN-2025055,15494,PRTR-P056,21497,"床用コーティング 重歩行 156",
DN-2025056,10766,PRTR-P057,18773,"溶剤系塗料 黄 157",月次まとめ
DN-2025057,2879,PRTR-P058,3077,"2液ウレタン塗料 主剤 白 158",
DN-2025058,4181,PRTR-P059,4867,"2液ウレタン塗料 硬化剤 速乾 159",
DN-2025059,114,PRTR-P060,127,"エポキシプライマー グレー 160",
DN-2025060,8599,PRTR-P061,13788,"ラッカーシンナー T-100 161",
DN-2025061,8950,PRTR-P062,13499,"ウレタンシンナー U-20 162",
DN-2025062,9993,PRTR-P063,10995,"洗浄用シンナー C-50 163",
DN-2025063,9414,PRTR-P064,15145,"接着剤（溶剤形） G-103 164",月次まとめ
DN-2025064,1638,PRTR-P065,2256,"接着剤（水性） W-1 165",
DN-2025065,5589,PRTR-P066,8637,"樹脂ワニス V-20 166",
DN-2025066,4739,PRTR-P067,8202,"防錆油 R-1 167",
DN-2025067,13161,PRTR-P068,20500,"印刷インキ 墨 168",
DN-2025068,15165,PRTR-P069,17347,"離型剤 M-1 169",
DN-2025069,6033,PRTR-P070,7223,"床用コーティング 標準 170",
DN-2025070,16170,PRTR-P071,17451,"溶剤系塗料 青 171",月次まとめ
DN-2025071,13649,PRTR-P072,17303,"2液ウレタン塗料 主剤 黒 172",
DN-2025072,8631,PRTR-P073,12335,"2液ウレタン塗料 硬化剤 冬型 173",
DN-2025073,7994,PRTR-P074,8504,"エポキシプライマー 白 174",
DN-2025074,9712,PRTR-P075,12096,"ラッカーシンナー T-200 175",
DN-2025075,12519,PRTR-P076,20443,"ウレタンシンナー U-30 176",
DN-2025076,11057,PRTR-P077,15753,"洗浄用シンナー リサイクル 177",
DN-2025077,14431,PRTR-P078,15615,"接着剤（溶剤形） 速乾 178",月次まとめ
DN-2025078,9681,PRTR-P079,11620,"接着剤（水性） W-2 179",
DN-2025079,1367,PRTR-P080,1878,"樹脂ワニス 耐熱 180",
DN-2025080,1593,PRTR-P081,1989,"防錆油 R-2 181",
DN-2025081,6568,PRTR-P082,10750,"印刷インキ 藍 182",
DN-2025082,11235,PRTR-P083,15208,"離型剤 M-5 183",
DN-2025083,8562,PRTR-P084,9639,"床用コーティング 重歩行 184",
DN-2025084,15232,PRTR-P085,24678,"溶剤系塗料 白 185",月次まとめ
DN-2025085,5347,PRTR-P086,6525,"2液ウレタン塗料 主剤 グレー 186",
DN-2025086,18630,PRTR-P087,23955,"2液ウレタン塗料 硬化剤 標準 187",
DN-2025087,11493,PRTR-P088,14717,"エポキシプライマー 赤さび 188",
DN-2025088,10648,PRTR-P089,15767,"ラッカーシンナー T-300 189",
DN-2025089,19989,PRTR-P090,24252,"ウレタンシンナー U-10 190",
DN-2025090,2208,PRTR-P091,2425,"洗浄用シンナー C-90 191",
DN-2025091,6232,PRTR-P092,8292,"接着剤（溶剤形） G-17 192",月次まとめ
DN-2025092,20081,PRTR-P093,21532,"接着剤（水性） W-1 193",
DN-2025093,22603,PRTR-P094,24020,"樹脂ワニス V-10 194",
DN-2025094,3117,PRTR-P095,3491,"防錆油 R-1 195",
DN-2025095,858,PRTR-P096,1008,"印刷インキ 紅 196",
DN-2025096,3010,PRTR-P097,4753,"離型剤 M-1 197",
DN-2025097,6671,PRTR-P098,10480,"床用コーティング 標準 198",
DN-2025098,7658,PRTR-P099,8609,"溶剤系塗料 黒 199",月次まとめ
DN-2025099,14472,PRTR-P100,23799,"2液ウレタン塗料 主剤 緑 200",
DN-2025100,6330,PRTR-P101,9208,"2液ウレタン塗料 硬化剤 速乾 201",
DN-2025101,8901,PRTR-P102,15786,"エポキシプライマー グレー 202",
DN-2025102,3713,PRTR-P103,5999,"ラッカーシンナー 冬用 203",
DN-2025103,4270,PRTR-P104,5869,"ウレタンシンナー U-20 204",
DN-2025104,8455,PRTR-P105,14713,"洗浄用シンナー C-50 205",
DN-2025105,8724,PRTR-P106,9458,"接着剤（溶剤形） G-103 206",月次まとめ
DN-2025106,5058,PRTR-P107,8197,"接着剤（水性） W-2 207",
DN-2025107,1817,PRTR-P108,2550,"樹脂ワニス V-20 208",
DN-2025108,2983,PRTR-P109,5204,"防錆油 R-2 209",
DN-2025109,8330,PRTR-P110,8833,"印刷インキ 黄 210",
DN-2025110,7423,PRTR-P111,8942,"離型剤 M-5 211",
DN-2025111,1420,PRTR-P112,1750,"床用コーティング 重歩行 212",
DN-2025112,961,PRTR-P113,1052,"溶剤系塗料 グレー 213",月次まとめ
DN-2025113,11817,PRTR-P114,16915,"2液ウレタン塗料 主剤 白 214",
DN-2025114,3568,PRTR-P115,3835,"2液ウレタン塗料 硬化剤 冬型 215",
DN-2025115,3908,PRTR-P116,5641,"エポキシプライマー 白 216",
DN-2025116,3851,PRTR-P117,5854,"ラッカーシンナー T-100 217",
DN-2025117,9678,PRTR-P118,11539,"ウレタンシンナー U-30 218",
DN-2025118,18947,PRTR-P119,24986,"洗浄用シンナー リサイクル 219",
DN-2025119,12082,PRTR-P120,14380,"接着剤（溶剤形） 速乾 220",月次まとめ
DN-2025120,11942,CP-CLN-R,16974,"洗浄用リサイクルシンナー C-90",
DN-2025121,6970,CP-EP50H,10725,"エポキシプライマー 硬化剤 EP-50H",
DN-2025122,13755,CP-EP50K,15493,"エポキシプライマー セット EP-50 (3:1)",
DN-2025123,7704,CP-EP50R,11386,"エポキシプライマー 赤さび 主剤 EP-50R",
DN-2025124,296,CP-PU100H,325,"2液ウレタン塗料 硬化剤 PU-100H",
DN-2025125,12784,CP-PU100K,15199,"2液ウレタン塗料 白 セット PU-100 (4:1)",
