製品コード,製品名,購入数量(kg),出荷数量(kg)
PRTR-P101,"2液ウレタン塗料 硬化剤 速乾 201",9208,6330
PRTR-P102,"エポキシプライマー グレー 202",15786,8901
PRTR-P103,"ラッカーシンナー 冬用 203",5999,3713
PRTR-P104,"ウレタンシンナー U-20 204",5869,4270
PRTR-P105,"洗浄用シンナー C-50 205",14713,8455
PRTR-P106,"接着剤（溶剤形） G-103 206",9458,8724
PRTR-P107,"接着剤（水性） W-2 207",8197,5058
PRTR-P108,"樹脂ワニス V-20 208",2550,1817
PRTR-P109,"防錆油 R-2 209",5204,2983
PRTR-P110,"印刷インキ 黄 210",8833,8330
PRTR-P111,"離型剤 M-5 211",8942,7423
PRTR-P112,"床用コーティング 重歩行 212",1750,1420
PRTR-P113,"溶剤系塗料 グレー 213",1052,961
PRTR-P114,"2液ウレタン塗料 主剤 白 214",16915,11817
PRTR-P115,"2液ウレタン塗料 硬化剤 冬型 215",3835,3568
PRTR-P116,"エポキシプライマー 白 216",5641,3908
PRTR-P117,"ラッカーシンナー T-100 217",5854,3851
PRTR-P118,"ウレタンシンナー U-30 218",11539,9678
PRTR-P119,"洗浄用シンナー リサイクル 219",24986,18947
PRTR-P120,"接着剤（溶剤形） 速乾 220",14380,12082
CP-CLN-R,"洗浄用リサイクルシンナー C-90",16974,11942
CP-EP50H,"エポキシプライマー 硬化剤 EP-50H",10725,6970
CP-EP50K,"エポキシプライマー セット EP-50 (3:1)",15493,13755
CP-EP50R,"エポキシプライマー 赤さび 主剤 EP-50R",11386,7704
CP-PU100H,"2液ウレタン塗料 硬化剤 PU-100H",325,296
CP-PU100K,"2液ウレタン塗料 白 セット PU-100 (4:1)",15199,12784
