100-20-9	Terephthaloyl chloride
105-55-5	N,N'-Diethylthiourea
105-67-9	2,4-Xylenol
105-76-0	Dibutyl maleate
105-87-3	Geranyl acetate
10544-72-6	Dinitrogen tetraoxide
10545-99-0	Sulfur dichloride
105779-78-0	5-Chloro-N-{2-[4-(2-ethoxyethyl)-2,3-dimethylphenoxy]ethyl}-6-ethylpyrimidine-4-amine (synonym: Pyrimidifen)
10584-98-2	Dibutyltin bis(2-ethylhexyl thioglycolate)
106-24-1	Geraniol
106-31-0	Butyric anhydride
106-43-4	4-Chlorotoluene
106-44-5	p-Cresol
106-46-7	p-Dichlorobenzene
106-47-8	p-Chloroaniline
106-48-9	4-Chlorophenol
106-49-0	p-Toluidine
106-50-3	p-Phenylenediamine
106-51-4	p-Benzoquinone (synonym: p-Quinone)
106-88-7	1,2-Epoxybutane (synonym: 1,2-Butylene oxide)
106-89-8	2-(Chloromethyl)oxirane (synonym: Epichlorohydrin)
106-90-1	Glycidyl acrylate
106-91-2	2,3-Epoxypropyl methacrylate
106-92-3	1-Allyloxy-2,3-epoxypropane (synonym: Allyl glycidyl ether)
106-95-6	3-Bromo-1-propene
10605-21-7	Methyl benzimidazole-2-yl-carbamate (synonym: Carbendazim)
107-02-8	Acrolein
107-03-9	Propane-1-thiol
107-05-1	Allyl chloride
107-10-8	Propylamine
107-11-9	Allylamine
107-15-3	Ethylenediamine
107-19-7	2-Propyn-1-ol
107-20-0	Chloroacetaldehyde
107-22-2	Glyoxal
107-66-4	Di-n-butyl phosphate
107-86-8	3-Methyl-2-butenal
107-92-6	n-Butanoic acid
107-94-8	3-Chloropropionic acid
107-96-0	.beta.-Mercaptopropionic acid
1071-93-8	Adipic acid dihydrazide
108-01-0	2-Dimethylaminoethanol
108-18-9	Diisopropylamine
108-23-6	Isopropyl chloroformate
108-24-7	Acetic anhydride
108-30-5	Succinic anhydride
108-31-6	Maleic anhydride
108-39-4	m-Cresol
108-42-9	Chloroaniline (3-Chloroaniline)/ Chloroaniline
108-45-2	m-Phenylenediamine
108-46-3	Resorcinol (synonym: Resorcin)
108-68-9	3,5-Xylenol (synonym: 3,5-Dimethylphenol)
108-77-0	2,4,6-Trichloro-1,3,5-triazine
108-91-8	Cyclohexylamine
108-93-0	Cyclohexanol
108-94-1	Cyclohexanone
108-99-6	3-Methylpyridine
1085-98-9	N-Dichlorofluoromethylthio-N',N'-dimethyl-N-phenylsulfamide (synonym: Dichlofluanid)
109-06-8	2-Methylpyridine (synonym: 2-Picoline)
109-16-0	2-(2-{2-[(2-Methylprop-2-enoyl)oxy]ethoxy}ethoxy)ethyl 2-methylprop-2-enoate (synonym: Triethylene glycol dimethacrylate)
109-52-4	Valeric acid
109-55-7	N,N-Dimethyl-1,3-propanediamine
109-61-5	n-Propyl chloroformate
109-63-7	Boron trifluoride diethyl ether (synonym: Boron trifluoride ether complex)
109-73-9	n-Butylamine
109-79-5	1-Butanethiol
109-83-1	2-Methylaminoethanol
109-89-7	Diethylamine
110-16-7	Maleic acid
110-18-9	N,N,N',N'-Tetramethylethylenediamine
110-25-8	Oleoylsarcosine
110-46-3	Isopentyl nitrite (synonym: Isoamyl nitrite)
110-62-3	1-Pentanal (synonym: n-Valeraldehyde)
110-65-6	2-Butyne-1,4-diol
110-85-0	Piperazine
110-86-1	Pyridine
110-87-2	3,4-Dihydro-2H-pyran
110-89-4	Piperidine
110-91-8	Morpholine
110-97-4	Diisopropanolamine
11067-80-4	Isododecylphenol
11070-44-3	Tetrahydromethylphthalic anhydride
110956-75-7	3-(4-Chloro-5-cyclopentyloxy-2-fluorophenyl)-5-isopropylidene-1,3-oxazolidine-2,4-dione (synonym: Pentoxazone)
111-14-8	n-Heptanoic acid
111-17-1	3,3'-Thiodipropionic acid
111-30-8	Glutaraldehyde
111-36-4	1-Isocyanatobutane
111-40-0	N-(2-Aminoethyl)-1,2-ethanediamine (synonym: Diethylenetriamine)
111-41-1	N-(2-Aminoethyl)-2-aminoethanol
111-42-2	2,2'-Iminodiethanol
111-49-9	Hexahydro-1H-azepine
111-78-4	Cycloocta-1,5-diene
111-86-4	1-Octanamine
111-92-2	Dibutylamine
11135-81-2	Potassium-sodium alloy
1118-46-3	Butyltrichlorostannane
112-18-5	N,N-Dimethyldodecan-1-ylamine
112-24-3	Triethylenetetramine
112-55-0	n-Dodecyl mercaptan
112-57-2	Tetraethylenepentamine
112-90-3	(Z)-9-Octadecenyl-1-amine (synonym: Oleylamine)
113-00-8	Guanidine
115-21-9	Trichloroethylsilane
115-95-7	Linalyl acetate
117-08-8	Tetrachlorophthalic anhydride
118-52-5	1,3-Dichloro-5,5-dimethylimidazolidine-2,4-dione
118-58-1	Benzyl 2-hydroxybenzoate (synonym: Benzyl salicylate)
118-79-6	2,4,6-Tribromophenol
118-96-7	2,4,6-Trinitrotoluene
119-36-8	Methyl 2-hydroxybenzoate (synonym: Methyl salicylate)
119168-77-3	N-(4-tert-Butylbenzyl)-4-chloro-3-ethyl-1-methylpyrazole-5-carboxamide (synonym: Tebufenpyrad)
120-12-7	Anthracene
120-32-1	2-Benzyl-4-chlorophenol (synonym: Chlorophene)
120-78-5	Di(benzothiazol-2-yl) disulphide (synonym: MBTS)
120-80-9	Catechol (synonym: Pyrocatechol)
120-83-2	2,4-Dichlorophenol
12035-36-8	Nickel(IV) oxide
12035-72-2	Nickel subsulfide (synonym: Trinickel disulfide)
1205-17-0	3-(1,3-Benzodioxol-5-yl)-2-methylpropanal
12054-48-7	Nickel(II) hydroxide
12062-24-7	Copper(II) hexafluorosilicate (synonym: Copper silicofluoride)
121-03-9	2-Methyl-5-nitrobenzenesulfonic acid
121-44-8	Triethylamine
121-57-3	4-Aminobenzenesulfonic acid
121-75-5	O,O-Dimethyl-S-1,2-bis(ethoxycarbonyl)ethyl dithiophosphate (synonym: Malathion)
121-79-9	Propyl 3,4,5-trihydroxybenzoate
121158-58-5	Dodecylphenol (branched)
12122-67-7	Zinc N,N'-ethylenebis(dithiocarbamate) (synonym: Zineb)
121552-61-2	4-Cyclopropyl-6-methyl-N-phenylpyrimidin-2-amine (synonym: Cyprodinil)
12185-10-3	Yellow phosphorus
122-14-5	O,O-Dimethyl O-(3-methyl-4-nitrophenyl) thiophosphate (synonym: Fenitrothion)
122-18-9	Benzyl(hexadecyl)dimethylazanium chloride
122-19-0	Benzyl(dimethyl)(octadecyl)ammonium chloride
122-40-7	Amyl cinnamal
122-52-1	Triethyl phosphite
122-60-1	2,3-Epoxypropyl phenyl ether (synonym: Phenyl glycidyl ether)
12230-71-6	Barium hydroxide octahydrate
123-23-9	Succinic acid peroxide
123-30-8	p-Aminophenol
123-31-9	Hydroquinone
123-62-6	Propionic anhydride
123-75-1	Pyrrolidine
123-77-3	Azodicarbonamide
124-02-7	Diallylamine
124-07-2	Octanoic acid
124-09-4	Hexamethylenediamine
124-28-7	N,N-Dimethyloctadecylamine
124-30-1	Octadecylamine (synonym: Monostearylamine)
124-40-3	Dimethylamine
124-41-4	Sodium methanolate
124-63-0	Methanesulfonyl chloride
12427-38-2	Manganese N,N-ethylenebis(dithiocarbamate) (synonym: Maneb)
126-73-8	Tri-n-butyl phosphate
127-51-5	.alpha.-Isomethylionone
127-68-4	Sodium 3-nitrobenzenesulfonate
127-91-3	.beta.-Pinene
1302-42-7	Sodium aluminate
13048-33-4	Hexamethylene diacrylate
1305-99-3	Calcium phosphide
1308-14-1	Chromium hydroxide hydrate
1308-38-9	Chromium(III) oxide
131-17-9	Phthalic acid, diallyl ester (synonym: Diallyl phthalate)
131-57-7	(2-Hydroxy-4-methoxyphenyl)(phenyl)methanone
131-72-6	2,4-Dinitro-6-(octan-2-yl)phenyl (E)-2-butenoate (synonym: Meptyldinocap)
131-74-8	Ammonium picrate
131-89-5	2,4-Dinitro-6-cyclohexylphenol (synonym: Dinex)
1310-58-3	Potassium hydroxide
1310-65-2	Lithium hydroxide
1310-66-3	Lithium hydroxide monohydrate
1310-73-2	Sodium hydroxide
1312-73-8	Potassium sulphide
1313-60-6	Sodium peroxide
1313-82-2	Sodium sulfide
1313-99-1	Nickel oxide
13138-45-9	Nickel nitrate
1314-06-3	Nickel(III) oxide
1314-23-4	Zirconium oxide
1314-56-3	Phosphorus pentaoxide
13149-00-3	cis-Cyclohexane-1,2-dicarboxylic anhydride (synonym: Hexahydrophthalic anhydride, cis-isomer)
1317-38-0	Copper(II) oxide
1317-39-1	Copper(I) oxide
13189-00-9	Zinc bis(2-methylprop-2-enoate)
1319-77-3	Cresol
132-27-4	Sodium 1,1'-biphenyl-2-olate
133-06-2	Captan
133-07-3	N-(Trichloromethylthio)phthalimide (synonym: Folpet)
1330-78-5	Tritolyl phosphate
133220-30-1	(RS)-2-[2-(3-Chlorophenyl)-2,3-epoxypropyl]-2-ethylindane-1,3-dione (synonym: Indanofan)
134098-61-6	tert-Butyl 4-({[(1,3-dimethyl-5-phenoxy-4-pyrazolyl)methylidene]aminooxy}methyl)benzoate
1341-49-7	Ammonium hydrogen difluoride
1344-08-7	Sodium polysulfide
1344-37-2	Pigment Yellow 34
13453-07-1	Auric chloride
13463-41-7	2-Pyridinethiol-1-oxide, zinc salt (synonym: Zinc pyrithione)
13477-10-6	Barium hypochlorite
13478-00-7	Nickel(II) nitrate hexahydrate
135-19-3	.beta.-Naphthol (synonym: 2-Naphthol)
135-88-6	2-(N-Phenylamino)naphthalene
13517-24-3	Sodium metasilicate nonahydrate
13598-36-2	Phosphorous acid
136-52-7	Cobalt(II) 2-ethylhexanoate
136191-64-5	Methyl 2-(4,6-dimethoxy-2-pyrimidinyloxy)-6-[1-(methoxyimino)ethyl]benzoate
137-05-3	Methyl 2-cyanoacrylate
137-26-8	Tetramethylthiuram disulfide (synonym: Thiuram)
137-30-4	Zinc bis(N,N-dimethyldithiocarbamate) (synonym: Ziram)
137-42-8	Sodium methyldithiocarbamate (synonym: Metam-sodium)
137-58-6	Lidocaine
13770-89-3	Bis(sulfamic acid) nickel(II) salt
138-86-3	Dipentene
13840-33-0	Lithium hypochlorite
13842-46-1	Nickel(II) dipotassium bis(sulfate)
139-07-1	Benzyl(dodecyl)dimethylammonium chloride
139-08-2	Benzyl(dimethyl)(tetradecyl)ammonium chloride
1395-21-7	Subtilisin
13952-84-6	sec-Butylamine
13967-50-5	Potassium cyanoaurate
140-31-8	2-Piperazin-1-ylethylamine
140-88-5	Ethyl acrylate
141-05-9	Diethyl maleate
141-32-2	n-Butyl acrylate
141-43-5	2-Aminoethanol
141-66-2	(E)-1-(N,N-Dimethylcarbamoyl)-1-propen-2-yl dimethyl phosphate (synonym: Dicrotophos)
141-75-3	Butyryl chloride
141517-21-7	Methyl (E)-methoxyimino-{(E)-.alpha.-[1-(.alpha.,.alpha.,.alpha.-trifluoro-m-tolyl)ethylideneaminooxy]-o-tolyl}acetate (synonym: Trifloxystrobin)
14166-21-3	trans-Cyclohexane-1,2-dicarboxylic anhydride (synonym: Hexahydrophthalic anhydride, trans-isomer)
142-16-5	Bis(2-ethylhexan-1-yl) maleate
142-28-9	1,3-Dichloropropane
142-59-6	Disodium ethane-1,2-diyldicarbamodithioate (synonym: Nabam)
142-62-1	Hexanoic acid
142-83-6	2,4-Hexadienal
142-84-7	Di-n-propylamine
14220-17-8	Nickel potassium cyanide
142459-58-3	4'-Fluoro-N-isopropyl-2-(5-trifluoromethyl-1,3,4-thiadiazol-2-yloxy)acetanilide (synonym: Cyclopentene)
143-50-0	Chlordecone
14324-55-1	Zinc diethyldithiocarbamate
144-49-0	Fluoroacetic acid
144-54-7	N-Methyldithiocarbamic acid (synonym: Metam)
1461-25-2	Tetrabutyltin
1477-55-0	m-Xylylenediamine
148-24-3	8-Quinolinol
148477-71-8	Butanoic acid, 2,2-dimethyl-, 3-(2,4-dichlorophenyl)-2-oxo-1-oxaspiro[4.5]dec-3-en-4-yl ester (synonym: Spirodiclofen)
149-30-4	2-Mercaptobenzothiazole
149-57-5	2-Ethylhexanoic acid
14915-37-8	Bis(2-sulfidepyridine-1-olato)copper
14977-61-8	Chromium(6+) oxychloride (synonym: Chromyl chloride)
149877-41-8	Isopropyl 2-(4-methoxybiphenyl-3-yl)hydrazinoformate (synonym: Bifenazate)
150-76-5	p-Methoxyphenol
15263-52-2	1,3-Dicarbamoylthio-2-(N,N-dimethylamino)-propane hydrochloride
15571-58-1	2-Ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (synonym: DOTE)
156-43-4	p-Phenetidine
156-62-7	Calcium cyanamide
156-87-6	3-Amino-1-propanol
15625-89-5	Trimethylolpropane triacrylate
1570-64-5	4-Chloro-2-methylphenol
1582-09-8	.alpha.,.alpha.,.alpha.-Trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine (synonym: Trifluralin)
15972-60-8	2-Chloro-2',6'-diethyl-N-(methoxymethyl)acetanilide (synonym: Alachlor)
1600-27-7	Mercury(II) acetate
16219-75-3	5-Ethylidene-2-norbornene (synonym: Ethylidene norbornene)
163515-14-8	2-Chloro-N-(2,4-dimethylthien-3-yl)-N-[(2S)-1-methoxypropan-2-yl]acetamide (synonym: Dimethenamid-P)
1663-39-4	tert-Butyl acrylate
16672-87-0	Ethephon
16721-80-5	Sodium hydrosulfide
1675-54-3	Bisphenol A diglycidyl ether
16812-54-7	Nickel(II) sulfide
16853-85-3	Aluminium lithium hydride
16872-11-0	Hydrofluoroboric acid
16903-35-8	Chloroauric acid
16919-58-7	Ammonium chloroplatinate complex salt
16923-58-3	Disodium hexachloroplatinate
16940-66-2	Sodium borohydride
16941-12-1	Hexachloroplatinic(IV) acid
16961-83-4	Hexafluorosilicic acid
17090-79-8	Monensin
17095-24-8	Reactive Black 5
173584-44-6	Methyl (S)-7-chloro-2,3,4a,5-tetrahydro-2-[methoxycarbonyl(4-trifluoromethoxyphenyl)carbamoyl]indeno[1,2-e][1,3,4]oxadiazine-4a-carboxylate (synonym: Indoxacarb or Indoxacarb M) (S:R = 75:25)
17540-75-9	4-sec-Butyl-2,6-di-tert-butylphenol
17557-23-2	2,2'-(2,2-Dimethyl-1,3-propanediyl)bis(oxymethylene)bisoxirane (synonym: Neopentyl glycol diglycidyl ether)
1761-71-3	Bis(4-aminocyclohexyl)methane
17689-77-9	Ethyltriacetoxysilane
17796-82-6	N-(Cyclohexylthio)phthalimide
17804-35-2	Methyl N-[1-(N-n-butylcarbamoyl)-1H-2-benzimidazolyl]carbamate (synonym: Benomyl)
1789-58-8	Dichloroethylsilane
178961-20-1	2-Chloro-N-(2-ethyl-6-methylphenyl)-N-[(R)-1-methoxypropan-2-yl]acetamide (synonym: R-Metolachlor)
18127-01-0	3-(4-tert-Butylphenyl)propanal
1836-75-5	2,4-Dichlorophenyl 4-nitrophenyl ether (synonym: Nitrofen)
1861-40-1	N-Butyl-N-ethyl-.alpha.,.alpha.,.alpha.-trifluoro-2,6-dinitro-p-toluidine (synonym: Bethrodine or Benfluralin)
1897-45-6	Tetrachloroisophthalonitrile (synonym: Chlorothalonil)
1910-42-5	1,1'-Dimethyl-4,4'-bipyridinium dichloride (synonym: Paraquat)
1912-24-9	2-Chloro-4-ethylamino-6-isopropylamino-1,3,5-triazine (synonym: Atrazine)
19287-45-7	Diborane
1931-62-0	tert-Butyl monoperoxymaleate
1948-33-0	2-tert-Butylhydroquinone
2074-50-2	Paraquat dimethyl sulfate
20816-12-0	Osmium tetroxide
2082-81-7	Butane-1,4-diyl dimethacrylate (synonym: 1,4-Butanediol dimethacrylate)
21351-79-1	Cesium hydroxide
21564-17-0	2-(Thiocyanatomethylthio)-1,3-benzothiazole
2179-59-1	Allyl n-propyl disulfide
2210-79-9	o-Cresyl glycidyl ether (synonym: 2,3-Epoxypropyl o-tolyl ether)
22248-79-9	(Z)-2-Chloro-1-(2,4,5-trichlorophenyl)vinyl dimethyl phosphate (synonym: Tetrachlorvinphos)
22373-78-0	Sodium monensin
224049-04-1	3,4-Dichloro-N-(2-cyanophenyl)isothiazole-5-carboxamide (synonym: Isotianil)
2243-62-1	1,5-Diaminonaphthalene
22936-75-0	4-(1,2-Dimethylpropylamino)-2-ethylamino-6-methylthio-1,3,5-triazine (synonym: Dimethametryn)
23103-98-2	2-Dimethylamino-5,6-dimethylpyrimidin-4-yl N,N-dimethylcarbamate (synonym: Pirimicarb)
23184-66-9	N-(Butoxymethyl)-2-chloro-2',6'-diethylacetanilide (synonym: Butachlor)
23422-53-9	Formetanate hydrochloride
23564-05-8	Dimethyl 4,4'-(o-phenylene)bis(3-thioallophanate) (synonym: Thiophanate-methyl)
2372-82-9	N-(3-Aminopropyl)-N-dodecylpropane-1,3-diamine
2386-87-0	(3,4-Epoxycyclohexan-1-yl)methyl 3,4-epoxy-1-cyclohexane carboxylate (synonym: Alicyclic epoxy resin)
2399-48-6	Tetrahydrofurfuryl acrylate
2403-88-5	2,2,6,6-Tetramethylpiperidin-4-ol
2425-06-1	N-(1,1,2,2-Tetrachloroethylthio)-1,2,3,6-tetrahydrophthalimide (synonym: Captafol)
2425-79-8	1,4-Butanediol diglycidyl ether
2426-08-6	n-Butyl 2,3-epoxypropyl ether
2439-01-2	6-Methyl-1,3-dithiolo[4,5-b]quinoxalin-2-one
2439-35-2	2-(Dimethylamino)ethyl acrylate
2451-62-9	1,3,5-Tris(2,3-epoxypropyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione (synonym: Triglycidyl isocyanurate)
2455-24-5	Tetrahydrofurfuryl methacrylate
2475-45-8	1,4,7,8-Tetraaminoanthraquinone (synonym: Disperse Blue 1)
25013-16-5	Butylhydroxyanisole
25068-38-6	Polymer of 4,4'-isopropylidenediphenol and 1-chloro-2,3-epoxypropane (limited to liquid)
25103-58-6	tert-Dodecanethiol
25154-52-3	Nonylphenol
25154-54-5	Dinitrobenzene (mixed isomers)
25167-80-0	Chlorophenol
25168-24-5	Dibutyltin bis(isooctyl thioglycolate)
2524-04-1	Diethyl thiophosphoryl chloride
25265-76-3	Phenylenediamine
25376-45-8	Tolylenediamine
25550-51-0	Methylhexahydrophthalic anhydride
25584-83-2	Acrylic acid, monoester with propane-1,2-diol
2579-20-6	1,3-Bis(aminomethyl)cyclohexane
2593-15-9	5-Ethoxy-3-trichloromethyl-1,2,4-thiadiazole
26087-47-8	S-Benzyl O,O-diisopropyl phosphorothioate (synonym: Iprobenfos)
2634-33-5	1,2-Benzisothiazolin-3-one
26447-14-3	1,2-Epoxy-3-(tolyloxy)propane
26447-40-5	1,1'-Methylenebis(isocyanatobenzene)
26523-78-4	Trisnonylphenyl phosphite (synonym: Tris(nonylphenyl) phosphite)
26530-20-1	2-n-Octyl-4-isothiazolin-3-one
26628-22-8	Sodium azide
26761-45-5	Oxiran-2-ylmethyl neodecanoate (synonym: Oxiranylmethyl neodecanoate)
2682-20-4	2-Methyl-4-isothiazolin-3-one
2698-41-1	2-Chlorobenzylidene malononitrile
27083-27-8	Polyhexamethylene biguanide hydrochloride
27459-10-5	4-Isododecylphenol
2768-02-7	Vinyltrimethoxysilane
27813-02-1	Monoester of methacrylic acid and propane-1,2-diol (mixture of two structural isomers (CAS 923-26-2 and CAS 4664-49-7))
2797-51-5	2-Amino-3-chloro-1,4-naphthoquinone (synonym: Quinoclamine or ACN)
2809-21-4	1-Hydroxyethane-1,1-diylbis(phosphonic acid)
2832-40-8	N-[4-[(2-Hydroxy-5-methylphenyl)azo]phenyl]acetamide (synonym: CI Solvent Yellow 77 or CI Disperse Yellow 3)
2835-95-2	2-Methyl-5-aminophenol
283594-90-1	3-Mesityl-2-oxo-1-oxaspiro[4.4]non-3-en-4-yl 3,3-dimethylbutanoate (synonym: Spiromesifen)
2855-13-2	Isophoronediamine
2867-47-2	2-(Dimethylamino)ethyl methacrylate
288-32-4	Imidazole
298-07-7	Bis(2-ethylhexyl) hydrogen phosphate
298-12-4	Glyoxylic acid
300-76-5	Phosphoric acid, 1,2-dibromo-2,2-dichloroethyl dimethyl ester
3006-10-8	Ethyl(hexadecyl)dimethylammonium ethyl sulfate (synonym: Mecetronium ethyl sulphate)
3006-82-4	tert-Butyl 2-ethylperoxyhexanoate
302-01-2	Hydrazine
302-17-0	Chloral hydrate
3030-47-5	Bis[2-(dimethylamino)ethyl]methylamine
3033-62-3	Bis(2-dimethylaminoethyl) ether
304-20-1	Hydralazine hydrochloride
3040-44-6	2-(Piperidin-1-yl)ethan-1-ol (synonym: .beta.-Piperidineethanol, 1-(2-Hydroxyethyl)piperidine)
3115-68-2	Tetrabutylphosphonium bromide
3121-61-7	2-Methoxyethyl acrylate
317-34-0	Aminophylline
3173-72-6	1,5-Naphthalene diisocyanate
32055-14-4	Polymer of: aniline; formaldehyde; phosgene
32210-23-4	4-tert-Butylcyclohexan-1-yl acetate
32388-55-9	1-[(3R,3aR,7R,8aS)-3,6,8,8-Tetramethyl-2,3,4,7,8,8a-hexahydro-1H-3a,7-methanoazulen-5-yl]ethanone
3268-49-3	3-Methylthiopropanal
3282-30-2	2,2-Dimethylpropanoyl chloride
33089-61-1	3-Methyl-1,5-di(2,4-xylyl)-1,3,5-triazapenta-1,4-diene (synonym: Amitraz)
333-41-5	O,O-Diethyl O-(2-isopropyl-6-methyl-4-pyrimidinyl) phosphorothioate (synonym: Diazinon)
334-88-3	Diazomethane
3347-22-6	2,3-Dicyano-1,4-dithiaanthraquinone (synonym: Dithianon)
335-67-1	Perfluorooctanoic acid
3391-86-4	1-Octen-3-ol
34256-82-1	2-Chloro-N-(ethoxymethyl)-2'-ethyl-6'-methylacetanilide (synonym: Acetochlor)
34643-46-4	O-2,4-Dichlorophenyl O-ethyl S-propyl phosphorodithioate
3524-68-3	Pentaerythritol triacrylate
3634-83-1	1,3-Bis(isocyanatomethyl)benzene (synonym: Isocyanic acid 1,3-phenylenedimethylene ester or m-Xylylene diisocyanate
375-73-5	Perfluorobutanesulfonic acid (synonym: PBS)
381-73-7	Difluoroacetic acid
3811-73-2	Sodium 1-oxo-1l.ambda.(5)-pyridine-2-thiolate
3861-47-0	3,5-Diiodo-4-octanoyloxybenzonitrile
39300-45-3	Dinitromethylheptylphenyl crotonate
39430-27-8	Nickel carbonate hydroxide tetrahydrate
39680-90-5	Ammonium N-methyldithiocarbamate (synonym: Metam ammonium)
39807-15-3	5-tert-Butyl-3-[2,4-dichloro-5-(prop-2-yn-1-yloxy)phenyl]-1,3,4-oxadiazol-2(3H)-one (synonym: Oxadiargyl)
400882-07-7	2-Methoxyethyl 2-[4-(tert-butyl)phenyl]-2-cyano-3-oxo-3-[2-(trifluoromethyl)phenyl]propanoate (synonym: Cyflumetofen)
40220-08-4	(2,4,6-Trioxo-1,3,5-triazinane-1,3,5-triyl)triethylene triacrylate (synonym: [Tris(2-acryloyloxy)ethyl] isocyanurate)
4074-88-8	2,2'-Oxydiethyl diacrylate (synonym: Diethylene glycol diacrylate)
4098-71-9	3-Isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate
4109-96-0	Dichlorosilane
41198-08-7	Phosphorothioic acid, O-4-bromo-2-chlorophenyl-O-ethyl S-propyl ester
41205-21-4	N-(4'-Fluorophenyl)-2,3-dichloromaleimide (synonym: Fluoroimide)
4170-30-3	2-Butenal (synonym: Crotonaldehyde (mixture of (E)-2-Butenal and (Z)-2-Butenal))
420-04-2	Cyanamide
4253-34-3	Methylsilanetriyl triacetate
42978-66-5	Tripropylene glycol diacrylate
431-03-8	Diacetyl
446-86-6	Azathioprine
4685-14-7	1,1'-Dimethyl-4,4'-bipyridinium (synonym: Paraquat)
4719-04-4	2-[3,5-Bis(2-hydroxyethyl)-1,3,5-triazinan-1-yl]ethanol (synonym: 1,3,5-Triazine-1,3,5(2H,4H,6H)-triethanol)
479-45-8	Tetryl
50-21-5	DL-Lactic acid
50-78-2	Acetylsalicylic acid
50471-44-8	(RS)-3-(3,5-Dichlorophenyl)-5-methyl-5-vinyl-1,3-oxazolidine-2,4-dione (synonym: Vinclozolin)
505-60-2	Bis(2-chloroethyl) sulfide (synonym: Mustard gas)
506-77-4	Cyanogen chloride
51-75-2	Bis(2-chloroethyl)methylamine (synonym: Nitrogen mustard)
5117-12-4	4-Acryloylmorpholine
51218-45-2	2-Chloro-2'-ethyl-N-(2-methoxy-1-methylethyl)-6'-methylacetanilide (synonym: Metolachlor)
51218-49-6	2-Chloro-2',6'-diethyl-N-(2-propoxyethyl)acetanilide (synonym: Pretilachlor)
5124-30-1	Methylenebis(4,1-cyclohexylene) diisocyanate
51594-55-9	(R)-1-Chloro-2,3-epoxypropane
51630-58-1	.alpha.-Cyano-3-phenoxybenzyl 2-(4-chlorophenyl)-3-methylbutyrate
52-51-7	2-Bromo-2-nitropropane-1,3-diol (synonym: Bronopol)
