100-00-5	ｐ－ニトロクロロベンゼン
104-94-9	ｐ－アニシジン
10415-75-5	硝酸水銀（Ｉ）
10424-65-4	Ｎ，Ｎ，Ｎ－トリメチルメタンアミニウム＝ヒドロキシド＝五水和物
10451-12-4	リン酸水銀
10486-00-7	過ホウ酸ナトリウム―水（１／４）
105-39-5	エチル＝クロロアセタート
105-67-9	２，４－ジメチルフェノール
105-87-3	酢酸ゲラニル
10584-98-2	［（ジブチルスタニレン）ジチオ］二酢酸ビス（２－エチルヘキシル）エステル
106-24-1	ゲラニオール
106-42-3	ｐ－キシレン
106-43-4	４－クロロトルエン
106-44-5	ｐ－クレゾール
106-46-7	１，４－ジクロロベンゼン
106-47-8	４－クロロアニリン
106-48-9	ｐ－クロロフェノール
106-49-0	ｐ－トルイジン
106-50-3	ｐ－フェニレンジアミン
106-51-4	ｐ－ベンゾキノン
106-88-7	２－エチルオキシラン
106-89-8	２－（クロロメチル）オキシラン
106-91-2	オキシラン－２－イルメチル＝メタクリラート
106-92-3	１－アリルオキシ－２，３－エポキシプロパン
106-93-4	１，２－ジブロモエタン
106-95-6	３－ブロモプロパ－１－エン
106-99-0	１，３－ブタジエン
10605-21-7	メチル＝１Ｈ－ベンゾイミダゾール－２－イルカルバマート
106232-83-1	エトキシ化アルコール（Ｃ＝１２～１５、直鎖型及び分枝型）
106917-52-6	２’，４－ジクロロ－α，α，α－トリフルオロ－４’－ニトロ－ｍ－トルエンスルホンアニリド
107-02-8	アクリルアルデヒド
107-05-1	３－クロロプロパ－１－エン
107-11-9	アリルアミン
107-13-1	アクリロニトリル
107-15-3	エチレンジアミン
107-18-6	アリルアルコール
107-19-7	２－プロピン－１－オール
107-20-0	クロロアセトアルデヒド
107-22-2	オキサルアルデヒド
107-26-6	ブロミド（エチル）水銀
107-27-7	クロリド（エチル）水銀
107-64-2	Ｎ，Ｎ－ジメチル－Ｎ，Ｎ－ジオクタデカン－１－イルアンモニウム＝クロリド
1071-83-6	Ｎ－（ホスホノメチル）－グリシン
1071-93-8	アジピン酸ジヒドラジド
1072-35-1	鉛（ＩＩ）＝ジステアラート
1076-43-3	（（２）Ｈ６）ベンゼン
108-05-4	ビニル＝アセタート
108-07-6	（アセタト－κＯ）（メチル）水銀
108-24-7	無水酢酸
108-31-6	フラン－２，５－ジオン
108-38-3	ｍ－キシレン
108-39-4	ｍ－クレゾール
108-42-9	ｍ－クロロアニリン
108-44-1	ｍ－トルイジン
108-45-2	ｍ－フェニレンジアミン
108-70-3	１，３，５－トリクロロベンゼン
108-71-4	５－メチルベンゼン－１，３－ジアミン
108-77-0	２，４，６－トリクロロ－１，３，５－トリアジン
108-88-3	トルエン
108-91-8	シクロヘキサン－１－イルアミン
108-98-5	チオフェノール
108-99-6	３－メチルピリジン
108145-39-7	２，２’，３，４，４’，５（又は２，２’，３，４，４’，５’）－ヘキサクロロビフェニル
109-62-6	（アセタト－κＯ）（エチル）水銀
109-63-7	三フッ化ホウ素ジエチルエーテル　（別名：三フッ化ホウ素エーテルコンプレックス）
109-86-4	２－メトキシエタノール
109-99-9	テトラヒドロフラン
109328-45-2	（Ｒ）－２，２’，３，３’，４，４’，６，６’－オクタクロロビフェニル
109328-46-3	（Ｓ）－２，２’，３，３’，４，４’，６，６’－オクタクロロビフェニル
110-25-8	Ｎ－メチル－Ｎ－オレオイルグリシン
110-49-6	２－メトキシエチル＝アセタート
110-54-3	ヘキサン
110-65-6	ブチン－２－ジオール－１，４
110-80-5	２－エトキシエタノール
110-85-0	ピペラジン
110-86-1	ピリジン
110-91-8	モルホリン
11066-49-2	イソノニルフェノール
11070-44-3	メチルテトラヒドロイソベンゾフラン－１，３－ジオン
11083-41-3	Mercury, compound with titanium (1:3)
110956-75-7	2,4-Oxazolidinedione, 3-[4-chloro-5-(cyclopentyloxy)-2-fluorophenyl]-5-(1-methylethylidene)-
11097-69-1	ＰＣＢ　１２５４
111-15-9	２－エトキシエチル＝アセタート
111-30-8	グルタルアルデヒド
111-42-2	２，２’－イミノジエタノール
111-76-2	２－ブトキシエタノール
111-86-4	１－オクタンアミン
111-96-6	１－メトキシ－２－（２－メトキシエトキシ）エタン
11104-28-2	Aroclor 1221
11110-52-4	ナトリウムアマルガム
11119-70-3	クロム酸鉛
11120-22-2	ケイ酸と鉛の塩
111276-74-5	２，２’，３，６，６’，？－ヘキサクロロビフェニル
111276-75-6	２，４，４’，？，？－ペンタクロロビフェニル
111276-76-7	２，２’，６’，？，？－ペンタクロロビフェニル
111276-77-8	２，２’，５，６’，？，？－ヘキサクロロビフェニル
111276-78-9	２，？，？－トリクロロビフェニル
111276-79-0	４，４’，？，？，？，？－ヘキサクロロビフェニル
111276-80-3	２，２’，５，６’，？，？，？－ヘプタクロロビフェニル
111276-81-4	４，４’，？，？，？－ペンタクロロビフェニル
111276-82-5	２，３，３’，４，４’，５，５’，？－オクタクロロビフェニル
111276-83-6	２，２’，５，６’，？，？，？，？－オクタクロロビフェニル
11133-98-5	Copper alloy, Cu, Be
11138-47-9	過ホウ酸のナトリウム塩
11141-16-5	Aroclor 1232
111512-56-2	１，１－ジクロロ－１，２，３，３，３－ペンタフルオロプロパン
1118-46-3	ブチルトリクロロスズ
111988-49-9	｛３－［（６－クロロ－３－ピリジル）メチル］－１，３－チアゾリジン－２－イリデン｝カルバモニトリル
112-02-7	ヘキサデカン－１－イル（トリメチル）アンモニウム＝クロリド
112-18-5	Ｎ，Ｎ－ジメチルドデカン－１－イルアミン
112-24-3	Ｎ，Ｎ’－ビス（２－アミノエチル）エタン－１，２－ジアミン
112-55-0	ドデカン－１－チオール
112-57-2	３，６，９－トリアザウンデカン－１，１１－ジイルジアミン
112-75-4	Ｎ－テトラデシルジメチルアミン
112-90-3	（Ｚ）－９－オクタデセン－１－アミン
1120-71-4	２，２－ジオキソ－１，２λ（６）－オキサチオラン
114830-97-6	ケイ酸鉛
115-09-3	クロリド（メチル）水銀
115-29-7	１，９，１０，１１，１２，１２－ヘキサクロロ－５－オキソ－４，６－ジオキサ－５λ（４）－チアトリシクロ［７．２．１．０（２，８）］ドデカ－１０－エン
115-95-7	酢酸リナリル
116-14-3	テトラフルオロエチレン
116666-25-2	ケイ酸鉛
117-81-7	ビス（２－エチルヘキサン－１－イル）＝フタラート
118-52-5	１，３－ジクロロ－５，５－ジメチルイミダゾリジン－２，４－ジオン
118-75-2	２，３，５，６－テトラクロロ－ｐ－ベンゾキノン
118-79-6	２，４，６－トリブロモフェノール
118-96-7	２，４，６－トリニトロトルエン
1184-57-2	ヒドロキシド（メチル）水銀
119-12-0	チオリン酸Ｏ，Ｏ－ジエチル－Ｏ－（６－オキソ－１－フェニル－１，６－ジヒドロ－３－ピリダジニル）
119-36-8	メチル＝２－ヒドロキシベンゾアート
119-93-7	３，３’－ジメチルベンジジン
119168-77-3	Ｎ－（４－ｔｅｒｔ－ブチルベンジル）－４－クロロ－３－エチル－１－メチルピラゾール－５－カルボキサミド
119801-45-5	クロム酸鉛
120-12-7	アントラセン
120-36-5	２－（２，４－ジクロロフェノキシ）プロパン酸
120-80-9	ピロカテコール
120-83-2	２，４－ジクロロフェノール
12009-99-3	酸化ベリリウム
12013-69-3	鉛酸二カルシウム
12017-86-6	Dilead chromate dihydroxide
12035-36-8	酸化ニッケル（ＩＶ）
12035-72-2	二硫化三ニッケル
12036-76-9	酸化硫酸二鉛
12040-72-1	（過ホウ酸のナトリウム塩）―水（１／１）
1205-17-0	３－（１，３－ベンゾジオキソール－５－イル）－２－メチルプロパナール
12054-48-7	水酸化ニッケル（ＩＩ）
12055-37-7	Mercury, compd. with sodium (2:1)
12059-89-1	酸化鉛（Ｉ）
12060-00-3	三酸化チタン鉛
12062-24-7	六フッ化ケイ酸銅（ＩＩ）
12068-90-5	テルル化水銀（ＩＩ）
12071-83-9	Ｎ，Ｎ’－プロピレンビス（ジチオカルバミン酸）亜鉛
12079-65-1	トリカルボニル（η（５）－シクロペンタジエニル）マンガン
121-14-2	２，４－ジニトロトルエン
121-44-8	トリエチルアミン
121-65-3	ｐ－ドデシルベンゼンスルホン酸
121-69-7	Ｎ，Ｎ－ジメチルアニリン
121-75-5	ジエチル＝２－［（ジメトキシホスホロチオイル）スルファニル］スクシナート
121054-00-0	酸化鉛（ＰｂＯ１－２）
12108-13-3	トリカルボニル（メチル－η（５）－シクロペンタジエニル）マンガン
12136-15-1	二窒化三水銀
121552-61-2	2-Pyrimidinamine, 4-cyclopropyl-6-methyl-N-phenyl-
12161-82-9	Bertrandite (Be4(OH)2O(SiO3)2)
122-14-5	Ｏ，Ｏ－ジメチル＝Ｏ－（３－メチル－４－ニトロフェニル）＝ホスホロチオアート
122-18-9	Ｎ－ベンジル－Ｎ，Ｎ－ジメチルヘキサデカン－１－アミニウム，クロリド（１：１）
122-39-4	ジフェニルアミン
122-40-7	アミルケイ皮アルデヒド
122-60-1	２－（フェノキシメチル）オキシラン
12202-17-4	三酸化硫酸四鉛
12214-12-9	一硫化一セレン化二カドミウム（ＩＩ）
12214-45-8	酸化鉛（ＰｂＯ３）
122162-56-5	酸化鉛（ＰｂＯ１．６２）
12228-40-9	Beryllium diboride
12232-25-6	Beryllium selenide
12232-27-8	Beryllium telluride
12291-87-1	酸化ベリリウム
122961-18-6	４－（１，３－ジメチルヘプチル）フェノール
12298-67-8	過酸化水銀（ＩＩ）
123-30-8	４－アミノフェノール
123-31-9	ヒドロキノン
123-54-6	アセチルアセトン
123-73-9	（２Ｅ）－クロトンアルデヒド
123-91-1	１，４－ジオキサン
12333-97-0	鉛とスズの化合物（１：１）
12344-40-0	ヨウ化銀水銀
12359-22-7	１，３，５，２，４，６－トリオキサトリプルンビン－２，４，６－トリイリデン
12397-06-7	三酸化硫酸四鉛（ＩＩ）一水和物
124-09-4	ヘキサン－１，６－ジイルジアミン
124-22-1	ドデカン－１－アミン
124-28-7	Ｎ，Ｎ－ジメチルオクタデカン－１－イルアミン
124-30-1	オクタデシルアミン
124-40-3	ジメチルアミン
124-73-2	１，２－ジブロモ－１，１，２，２－テトラフルオロエタン
12412-94-1	鉛とジルコニウムの化合物（３：５）
12427-38-2	［エチレン（ジチオカルバマト－κ（２）Ｓ，Ｓ’）（ジチオカルバマト）］マンガン
12429-94-6	Beryllium hexaboride
124594-15-6	ビス（スルファミン酸）ニッケル（ＩＩ）四水和物
124826-86-4	ケイ酸鉛
125022-34-6	テトラヒドロキシド－ジ－μ－ペルオキシド－１κＯ，２κＯ’－二ホウ酸二ナトリウム六水和物
12508-72-4	Mercury, compd. with potassium (2:1)
12528-21-1	フッ化水素
12536-51-5	Beryllium diboride
12536-52-6	Tetraberyllium boride
125454-11-7	１，３，２，４－ジオキサジプルンベタン＝２，４－ジオキシド
125466-18-4	酸化ベリリウム
12592-22-2	フッ化水素（Ｈ２Ｆ）
126-73-8	リン酸トリ－ｎ－ブチル
12612-47-4	塩化鉛
12672-29-6	ＰＣＢ　１２４８
12674-11-2	Aroclor 1016
12676-62-9	ホウ酸鉛
127-18-4	ペルクロロエテン
127-19-5	Ｎ，Ｎ－ジメチルアセトアミド
127-51-5	３－メチル－４－（２，６，６－トリメチルシクロヘキサ－２－エン－１－イル）ブタ－３－エン－２－オン
127564-92-5	ジクロロ（ペンタフルオロ）プロパン
12770-50-2	Aluminium alloy, Al, Be
128903-21-9	２，２－ジクロロ－１，１，１，３，３－ペンタフルオロプロパン
128976-28-3	クロム酸鉛
1300-16-9	ノニルフェノール
13004-83-6	炭酸水銀（ＩＩ）
1302-52-9	Beryl (Al2Be3(SiO3)6)
13029-08-8	２，２’－ジクロロビフェニル
1303-00-0	ヒ化ガリウム
1304-54-7	Triberyllium nitride
1304-56-9	酸化ベリリウム
13048-33-4	ヘキサン－１，６－ジイル＝ジアクリラート
1306-19-0	酸化カドミウム（ＩＩ）
1306-23-6	硫化カドミウム
130680-19-2	酸化鉛（ＰｂＯ１．３７）
1308-14-1	三水酸化クロム
1308-38-9	酸化クロム（ＩＩＩ）
1309-60-0	酸化鉛（ＩＶ）
131-17-9	ジアリル＝フタラート
1310-03-8	六フッ化ケイ酸鉛（ＩＩ）・二水和物
1310-88-9	Dimercury amidatenitrate
13106-47-3	ベリリウム＝カルボナート
1311-11-1	水酸化鉛オキシド
1312-03-4	Trimercury dioxide sulphate
13121-70-5	トリシクロヘキシルスタンナノール
1313-99-1	酸化ニッケル（ＩＩ）
13138-45-9	硝酸ニッケル（ＩＩ）
1314-04-1	硫化ニッケル
1314-06-3	酸化ニッケル（ＩＩＩ）
1314-27-8	酸化鉛
1314-41-6	四酸化三鉛
1317-36-8	酸化鉛
13189-00-9	亜鉛＝ジメタクリラート
1319-43-3	Beryllium and beryllium compounds
1319-46-6	ジカルボナト（ジヒドロキシ）三鉛
1319-77-3	クレゾール
132-27-4	ナトリウム＝ビフェニル－２－オラート
1320-37-2	ジクロロ（テトラフルオロ）エタン
132003-12-4	酸化鉛（ＰｂＯ１．０１－１．９９）
1321-38-6	ジイソシアナトトルエン
133-06-2	Ｎ－［（トリクロロメチル）スルファニル］シクロヘキサ－４－エン－１，２－ジカルボキシミド
1330-20-7	キシレン
1330-45-6	クロロ（トリフルオロ）エタン
1330-78-5	トリトリル＝ホスファート
13319-75-0	三フッ化ホウ素・二水和物
133220-30-1	２－｛［２－（３－クロロフェニル）オキシラン－２－イル］メチル｝－２－エチルインダン－１，３－ジオン
13327-32-7	水酸化ベリリウム
133315-99-8	酸化鉛（ＰｂＯ１．５７）
1335-25-7	酸化鉛
1335-31-5	μ－オキシド－ビス（シアニド水銀）
1335-32-6	ビス（アセタト－κＯ）（テトラヒドロキシ）三鉛
1336-36-3	ポリクロロビフェニル
1338-23-4	ブタン－２－オン＝ペルオキシド
134098-61-6	ｔｅｒｔ－ブチル＝４－（｛［（１，３－ジメチル－５－フェノキシ－４－ピラゾリル）メチリデン］アミノオキシ｝メチル）ベンゾアート
1341-49-7	フッ化水素アンモニウム
13424-46-9	二アジ化鉛（ＩＩ）
13427-42-4	炭酸鉛
1344-36-1	ジカルボナト（ジヒドロキシ）三鉛
1344-37-2	Ｃ．Ｉ．ピグメントイエロー３４
1344-40-7	ビス（酸化水酸化亜リン酸三鉛）一水和物
1344-48-5	硫化水銀（ＩＩ）
13444-75-2	クロム酸水銀（ＩＩ）
1345-09-1	Cadmium mercury sulfide
13463-41-7	ビス（２－メルカプトピリジン－Ｎ－オキシド）亜鉛（ＩＩ）
13464-92-1	臭化カドミウム・四水和物
13465-33-3	Mercury(1+) bromate
13465-37-7	チオシアン酸水銀（Ｉ）
13466-27-8	塩化ベリリウム・四水和物
13474-88-9	１，１－ジクロロ－１，２，２，３，３－ペンタフルオロプロパン
13478-00-7	硝酸ニッケル（ＩＩ）・六水和物
135-19-3	２－ナフトール
13510-48-0	Beryllium (Beryllium nitrate(tetrahydrate))
13510-49-1	硫酸ベリリウム
13510-89-9	八酸化二アンチモン三鉛
13517-20-9	過ホウ酸ナトリウム―水（１／３）
13566-17-1	ケイ酸鉛（ＩＩ）
13597-95-0	過塩素酸ベリリウム
13597-96-1	フッ化ベリリウム
13597-99-4	硝酸ベリリウム
13598-00-0	Phenakite
13598-15-7	リン酸水素ベリリウム
13598-22-6	Beryllium sulphide
13598-26-0	リン酸ベリリウム
136-52-7	２－エチルヘキサン酸コバルト（ＩＩ）
136-83-4	ｏ－ノニルフェノール
136013-79-1	１，３－ジクロロ－１，１，２，３，３－ペンタフルオロプロパン
136191-64-5	メチル＝２－（４，６－ジメトキシ－２－ピリミジニルオキシ）－６－［１－（メトキシイミノ）エチル］ベンゾアート
137-26-8	Ｎ，Ｎ，Ｎ’，Ｎ’－テトラメチル－２，３－ジチアジチオスクシンアミド
137-30-4	ビス（ジメチルジチオカルバマト－κ（２）Ｓ，Ｓ’）亜鉛
137-42-8	モノメチルジチオカルバミン酸ナトリウム
13703-85-0	ホウ酸鉛
13766-41-1	亜硫酸の水銀（ＩＩ）塩（１：？）
13766-44-4	硫酸水銀
13770-89-3	スルファミン酸ニッケル（ＩＩ）
13814-50-1	塩化ベリリウム（ＢｅＣｌ）
13814-96-5	ビス（テトラフルオロホウ酸）鉛
13842-46-1	ビス（硫酸）ニッケル（ＩＩ）二カリウム
13871-27-7	四フッ化ベリリウム酸ナトリウム
13874-36-7	四フッ化ベリリウム酸リチウム
13876-85-2	テトラヨード水銀酸二銅
13879-33-9	１，２－ジイソシアナト－４－メチルベンゼン
139-07-1	ベンジル（ドデシル）ジメチルアンモニウム＝クロリド
139-08-2	ベンジル（ジメチル）（テトラデシル）アンモニウム＝クロリド
139-84-4	ｍ－ノニルフェノール
13931-84-5	塩化鉛
13932-02-0	過塩素酸水銀（Ｉ）
13967-25-4	二フッ化二水銀
140-66-9	４－（２，４，４－トリメチルペンタン－２－イル）フェノール
140-88-5	エチル＝アクリラート
14099-12-8	Mercury dipotassium tetrathiocyanate
141-32-2	ブタン－１－イル＝アクリラート
141-43-5	２－アミノエタノール
141517-21-7	メチル＝２－［（Ｅ）－メトキシイミノ］－２－（２－｛（Ｅ）－４－［３－（トリフルオロメチル）フェニル］－２－オキサ－３－アザペンタ－３－エン－１－イル｝フェニル）アセタート
142-16-5	ビス（２－エチルヘキシル）＝マレアート
142-63-2	ピペラジン＝六水和物
14215-00-0	硫酸ベリリウム二水和物
14215-33-9	アジ化水銀（ＩＩ）
14216-75-2	硝酸ニッケル（ＩＩ）
14216-88-7	クロム酸ベリリウム
14219-05-7	５－メチルベンゼン－１，３－ジイソシアナート
14220-17-8	二カリウム＝（ＳＰ－４－１）－テトラシアニドニッケラート（２－）
142459-58-3	Ｎ－（４－フルオロフェニル）－Ｎ－イソプロピル－２－｛［５－（トリフルオロメチル）－１，３，４－チアジアゾール－２－イル］オキシ｝アセトアミド
143-27-1	ヘキサデカン－１－アミン
143-33-9	シアン化ナトリウム
143-36-2	ヨージド（メチル）水銀
143197-63-1	Mercury alloy, base, Hg 86,Mg 14
14323-41-2	二カリウム＝（ＳＰ－４－１）－テトラシアニドニッケラート（２－）一水和物
14376-09-1	ジアンミンジクロロ水銀
144-54-7	メチルジチオカルバミン酸
14409-72-4	２６－（４－ノニルフェノキシ）－３，６，９，１２，１５，１８，２１，２４－オクタオキサヘキサコサン－１－オール
14459-36-0	亜セレン酸水銀（ＩＩ）
1461-25-2	テトラブチルスズ
14720-53-7	メタホウ酸鉛（ＩＩ）
148-61-8	水素＝エタニド（２－スルフィド－κＳ－ベンゾアト－κＯ）メルクラート（１－）
14836-60-3	硝酸水銀（Ｉ）二水和物
148477-71-8	３－（２，４－ジクロロフェニル）－２－オキソ－１－オキサスピロ［４．５］デカ－３－エン－４－イル＝２，２－ジメチルブタノアート
14874-86-3	Beryllium diammonium tetrafluoride
149-30-4	１，３－ベンゾチアゾール－２（３Ｈ）－チオン
149-57-5	２－エチルヘキサン酸
14915-37-8	ビス［２－チオキソ－κＳ－ピリジン－１（２Ｈ）－オラト－κＯ］銅
14977-61-8	ジクロロジオキソクロム
149877-41-8	イソプロピル＝２－（４－メトキシビフェニル－３－イル）ヒドラジン－１－カルボキシラート
14990-20-6	アジ化水銀（Ｉ）
151-21-3	ナトリウム＝ドデカン－１－イル＝スルファート
151-50-8	シアン化カリウム
151-56-4	アジリジン
15120-21-5	ペルオキシホウ酸一ナトリウム
151262-31-6	（＋）－２，２’，３，６－テトラクロロビフェニル
151262-32-7	（－）－２，２’，３，６－テトラクロロビフェニル
151262-34-9	（＋）－２，２’，３，５’，６－ペンタクロロビフェニル
151262-35-0	（－）－２，２’，３，５’，６－ペンタクロロビフェニル
15191-85-2	Beryllium orthosilicate
15244-35-6	硫酸カドミウム（ＩＩ）－水（１／ｎ）
15244-38-9	硫酸クロム（ＩＩＩ）・水和物
15245-44-0	鉛（ＩＩ）＝２，４，６－トリニトロベンゼン－１，３－ジオラート
153153-43-6	（Ｓ）－２，２’，３，３’，６－ペンタクロロビフェニル
153153-44-7	（Ｒ）－２，２’，３，３’，６－ペンタクロロビフェニル
153153-45-8	（Ｓ）－２，２’，３，４’，６－ペンタクロロビフェニル
153153-46-9	（Ｒ）－２，２’，３，４’，６－ペンタクロロビフェニル
153153-47-0	（Ｓ）－２，２’，３，３’，４，６’－ヘキサクロロビフェニル
153153-48-1	（Ｒ）－２，２’，３，３’，４，６’－ヘキサクロロビフェニル
153153-49-2	（Ｓ）－２，２’，３，３’，６，６’－ヘキサクロロビフェニル
153153-50-5	（Ｒ）－２，２’，３，３’，６，６’－ヘキサクロロビフェニル
15339-40-9	四フッ化ベリリウム酸バリウム
15347-57-6	酢酸鉛（１：？）
1537199-53-3	二硫酸水銀（２＋）
15385-57-6	二ヨウ化二水銀
15385-58-7	二臭化二水銀
155569-91-8	（４’’Ｒ）－４’’－デオキシ－４’’－（メチルアミノ）アベルメクチンＢ１＝ベンゾアート
15571-58-1	ビス［（｛［（２－エチルヘキシル）オキシ］カルボニル｝メチル）スルファニル］（ジオクチル）スタンナン
156-43-4	ｐ－フェネチジン
156-62-7	カルシウムシアナミド
156234-43-4	Mercury alloy, base, Hg 50,Cs 33,Na 17
156234-44-5	Mercury alloy, base, Hg 46,Cs 30,Na 24
15681-89-7	Sodium [2H4]tetrahydroborate(1-)
15682-88-9	Disodium tetra(cyano-C)mercurate(2-)
15739-80-7	硫酸鉛（１：？）
1582-09-8	α，α，α－トリフルオロ－２，６－ジニトロ－Ｎ，Ｎ－ジプロピル－ｐ－トルイジン
15829-53-5	酸化水銀（Ｉ）
15862-07-4	２，４，５－トリクロロビフェニル
15875-13-5	１，３，５－トリス（ジメチルアミノプロピル）ヘキサヒドロ－１，３，５－トリアジン
159000-96-1	（Ｒ）－２，２’，３，４’，５’，６－ヘキサクロロビフェニル
159000-97-2	（Ｓ）－２，２’，３，４’，５’，６－ヘキサクロロビフェニル
15906-71-5	ケイ酸鉛
15968-05-5	２，２’，６，６’－テトラクロロビフェニル
15972-60-8	２－クロロ－２’，６’－ジエチル－Ｎ－（メトキシメチル）アセトアニリド
1600-27-7	酢酸水銀（ＩＩ）
16219-75-3	５－エチリデン－２－ノルボルネン
163515-14-8	２－クロロ－Ｎ－（２，４－ジメチルチエン－３－イル）－Ｎ－［（２Ｓ）－１－メトキシプロパン－２－イル］アセトアミド
1641-93-6	Benzyldimethyl(tridecyl)ammonium chloride
16576-96-8	Benzyldimethyl(pentadecyl)ammonium chloride
16605-91-7	２，３－ジクロロビフェニル
16606-02-3	２，４’，５－トリクロロビフェニル
16752-77-5	６－メチル－４－オキサ－７－チア－２，５－ジアザオクタ－５－エン－３－オン
16812-54-7	硫化ニッケル（ＩＩ）
16872-11-0	四フッ化ホウ酸（ＨＢＦ４）
16923-64-1	四フッ化ベリリウム酸二水素
16940-66-2	四水素化ホウ素ナトリウム
1717-00-6	１，１－ジクロロ－１－フルオロエタン
173584-44-6	メチル＝（Ｓ）－７－クロロ－２－｛（メトキシカルボニル）［４－（トリフルオロメトキシ）フェニル］カルバモイル｝－２，３，４ａ，５－テトラヒドロインデノ［１，２－ｅ］［１，３，４］オキサジアジン－４ａ－カルボキシラート
17404-66-9	４－（ノナン－２－イル）フェノール
1746-01-6	２，３，７，８－テトラクロロジベンゾ－１，４－ジオキシン
175695-12-2	Mercury alloy, base, Hg 69,Na 31
1762-26-1	エチルトリメチル鉛
1762-27-2	ジエチルジメチル鉛
1762-28-3	トリエチルメチル鉛
1763-23-1	ペルフルオロ（オクタン－１－スルホン酸）
176914-46-8	（Ｒ）－２，２’，３，３’，４，４’，６－ヘプタクロロビフェニル
176914-47-9	（Ｒ）－２，２’，３，４，４’，５’，６－ヘプタクロロビフェニル
176914-48-0	（Ｓ）－２，２’，３，３’，４，４’，６－ヘプタクロロビフェニル
176914-49-1	（Ｓ）－２，２’，３，４，４’，５’，６－ヘプタクロロビフェニル
17702-41-9	デカボラン（１４）
177020-15-4	（Ｒ）－２，２’，３，３’，４，４’，５，６’－オクタクロロビフェニル
177020-16-5	（Ｓ）－２，２’，３，３’，４，４’，５，６’－オクタクロロビフェニル
17796-82-6	Ｎ－（シクロヘキサン－１－イルスルファニル）フタルイミド
17804-35-2	Ｎ－［１－（Ｎ－ｎ－ブチルカルバモイル）－１Ｈ－２－ベンゾイミダゾリル］カルバミン酸メチル
178961-20-1	２－クロロ－Ｎ－（２－エチル－６－メチルフェニル）－Ｎ－［（Ｒ）－１－メトキシプロパン－２－イル］アセトアミド
179678-26-3	（Ｒ）－２，２’，３，３’，４，６－ヘキサクロロビフェニル
179678-27-4	（Ｓ）－２，２’，３，３’，４，６－ヘキサクロロビフェニル
