100-01-6	p-Nitroaniline
55-38-9	O,O-Dimethyl O-(3-methyl-4-methylthiophenyl) phosphorothioate (synonym: Fenthion)
55-63-0	Nitroglycerin
552-30-7	1,2,4-Benzenetricarboxylic acid 1,2-anhydride (synonym: Trimellitic anhydride)
556-52-5	2,3-Epoxy-1-propanol
556-61-6	Methyl isothiocyanate
56-38-2	Parathion
56-55-3	Benz[a]anthracene
56-72-4	O-3-Chloro-4-methyl-2-oxo-2H-chromen-7-yl O,O-diethyl phosphorothioate (synonym: Coumaphos)
563-12-2	S,S-Methylene O,O,O,O-tetraethyl bis(phosphorodithioate)
57-74-9	1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene (synonym: Chlordane)
58-89-9	1,2,3,4,5,6-Hexachlorocyclohexane (synonym: Lindane)
582-25-2	Potassium benzoate
5827-05-4	Aphidan
583-60-8	2-Methylcyclohexanone
59-89-2	N-Nitrosomorpholine
591-78-6	Methyl n-butyl ketone
592-01-8	Calcium cyanide
594-27-4	Tetramethyl tin
598-78-7	2-Chloropropionic acid
60-34-4	Methylhydrazine
60-57-1	1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-endo,exo-1,4,5,8-dimethanonaphthalene (synonym: Dieldrin)
61-82-5	3-Amino-1H-1,2,4-triazole (synonym: Amitrole)
615-05-4	2,4-Diaminoanisole
62-53-3	Aniline
62-74-8	Sodium fluoroacetate
62-75-9	N,N-Dimethylnitrosamine
624-83-9	Methyl isocyanate
624-92-0	Dimethyl disulfide
63-25-2	1-Naphthyl N-methylcarbamate (synonym: Carbaryl)
6423-43-4	Propylene dinitrate
643-79-8	o-Phthalaldehyde
65-85-0	Benzoic acid
67-56-1	Methanol
67-68-5	Dimethyl sulfoxide
67-72-1	Hexachloroethane
68-11-1	Mercaptoacetic acid
68-12-2	N,N-Dimethylformamide
680-31-9	Hexamethylorthophosphoric triamide
684-16-2	Hexafluoroacetone
6923-22-4	Dimethyl (E)-1-methyl-2-(N-methylcarbamoyl)vinyl phosphate
71-23-8	n-Propyl alcohol
71-36-3	1-Butanol
71-55-6	1,1,1-Trichloroethane
72-20-8	1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-endo-1,4-endo-5,8-dimethanonaphthalene (synonym: Endrin)
72-43-5	1,1,1-Trichloro-2,2-bis(4-methoxyphenyl)ethane (synonym: Methoxychlor)
74-87-3	Chloromethane
74-96-4	Ethyl bromide
74-97-5	Bromochloromethane
7440-28-0	Thallium and its compounds
7440-61-1	Uranium
75-04-7	Ethylamine
75-05-8	Acetonitrile
75-12-7	Formamide
75-15-0	Carbon disulfide
75-26-3	2-Bromopropane
75-27-4	Bromodichloromethane
75-31-0	Isopropylamine
75-47-8	Iodoform
75-55-8	Propylene imine
75-86-5	Acetone cyanohydrin
75-91-2	tert-Butyl hydroperoxide
76-44-8	1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-tetrahydro-4,7-methanol-1H-indene (synonym: Heptachlor)
763-69-9	Ethyl 3-ethoxypropanoate
764-41-0	1,4-Dichloro-2-butene
768-52-5	N-Isopropylaniline
77-77-0	Divinyl sulfone
7786-34-7	1-Methoxycarbonyl-1-propen-2-yl dimethyl phosphate (synonym: Mevinphos)
78-30-8	Tri-o-tolyl phosphate
78-34-2	O,O,O,O-Tetraethyl 1,4-dioxane-2,3-diyldithiobis(thiophosphonate) (synonym: Dioxathion)
78-89-7	2-Chloro-1-propanol
78-93-3	Methyl ethyl ketone
78-94-4	Methyl vinyl ketone
78-95-5	Chloroacetone
78-97-7	Lactonitrile
786-19-6	Carbophenothion
79-00-5	1,1,2-Trichloroethane
79-04-9	Chloroacetyl chloride
79-07-2	Chloroacetamide
79-10-7	Acrylic acid
79-11-8	Chloroacetic acid (synonym: Monochloroacetic acid)
79-41-4	Methacrylic acid
79-43-6	Dichloroacetic acid
79-44-7	Dimethyl carbamoyl chloride
8001-35-2	Chlorinated camphene (synonym: Toxaphene)
8008-20-6	Kerosene
8022-00-2	Dimethyl ethylmercapto ethylthiophosphate (synonym: Methyl demeton)
8052-42-4	Asphalt (synonym: Straight asphalt)
8065-48-3	O,O-Diethyl-ethylthioethyl phosphorothioate (synonym: Demeton)
81-81-2	3-(.alpha.-Acetonylbenzyl)-4-hydroxycoumarin (synonym: Warfarin)
82-66-6	Diphacinone
83-79-4	Rotenone
85-00-7	1,1-Ethylene-2,2-dipyridylium dibromide (synonym: Diquat)
85-01-8	Phenanthrene
85-44-9	Phthalic anhydride
86-50-0	O,O-Dimethyl S-[(4-oxo-1,2,3-benzotriazin-3[4H]-yl)methyl] phosphorodithioate (synonym: Azinphosmethyl)
86-88-4	1-Naphthalenylthiourea
87-59-2	2,3-Dimethylaniline
87-61-6	1,2,3-Trichlorobenzene
87-62-7	2,6-Dimethylaniline
87-68-3	Butadiene hexachloride
872-50-4	N-Methyl-2-pyrrolidone (synonym: N-Methylpyrrolidone)
88-12-0	N-Vinyl-2-pyrrolidone
88-72-2	2-Nitrotoluene
88-73-3	o-Nitrochlorobenzene
88-85-7	Butaphene (synonym: Dinoseb)
88-89-1	Picric acid
89-72-5	o-sec-Butylphenol
90-04-0	o-Anisidine
90-12-0	1-Methylnaphthalene
91-57-6	2-Methylnaphthalene
92-13-7	Pilocarpine
92-52-4	Biphenyl
92-84-2	Phenothiazine
93-76-5	2,4,5-Trichlorophenoxyacetic acid
94-75-7	2,4-Dichlorophenoxyacetic acid
944-22-9	O-Ethyl-S-phenyl ethylphosphonothiolothionate (synonym: Fonofos)
95-47-6	o-Xylene
95-48-7	o-Cresol
95-50-1	o-Dichlorobenzene
95-51-2	o-Chloroaniline
95-64-7	3,4-Dimethylaniline
95-68-1	2,4-Dimethylaniline
95-69-2	4-Chloro-o-toluidine
95-76-1	3,4-Dichloroaniline
95-78-3	2,5-Dimethylaniline
95-80-7	2,4-Toluenediamine (synonym: 2,4-Diaminotoluene)
95465-99-9	S,S-Bis(1-methylpropyl) O-ethyl phosphorodithioate (synonym: Cadusafos)
96-05-9	Allyl methacrylate
96-09-3	Phenyloxirane (synonym: Styrene oxide)
96-12-8	1,2-Dibromo-3-chloropropane
96-18-4	1,2,3-Trichloropropane
96-29-7	Butan-2-one oxime
96-33-3	Methyl acrylate
96-34-4	Methyl chloroacetate
97-56-3	2-Methyl-4-(2-tolylazo)aniline (synonym: 2-Aminoazotoluene)
98-00-0	Furfuryl alcohol
98-01-1	Furfural
98-54-4	4-tert-Butylphenol
98-73-7	p-tert-Butylbenzoic acid
98-95-3	Nitrobenzene
99-08-1	3-Nitrotoluene
99-54-7	1,2-Dichloro-4-nitrobenzene
99-65-0	m-Dinitrobenzene
999-61-1	2-Hydroxypropyl acrylate
