100-88-9	Cyclamic acid
136677-10-6	Chlorinated dibenzofurans
137-17-7	2,4,5-Trimethylaniline
137-26-8	Thiram
137-30-4	Ziram
138-59-0	(3R,4S,5R)-3,4,5-Trihydroxycyclohex-1-enecarboxylic acid
13840-33-0	Lithium hypochlorite
139-05-9	Sodium cyclamate
139-06-0	Calcium cyclamate
139-94-6	Nithiazide
13983-17-0	Wollastonite
140-11-4	Benzyl acetate
140-56-7	Fenaminosulf
1401-55-4	Tannic acid
141-32-2	n-Butyl acrylate
141-37-7	3,4-Epoxy-6-methylcyclohexylmethyl 3,4-epoxy-6-methylcyclohexanecarboxylate
143-67-9	Vinblastine sulfate
144-34-3	Methyl selenac
14484-64-1	Ferbam
14542-23-5	Fluorspar
148-18-5	Sodium diethyldithiocarbamate
148-24-3	8-Hydroxyquinoline
149-29-1	Patulin
150-13-0	para-Aminobenzoic acid
150-68-5	Monuron
150-69-6	Dulcin
15086-94-9	Eosin
15501-74-3	Sepiolite
15503-86-3	Isatidine
156-10-5	p-Nitrosodiphenylamine
156-51-4	Phenelzine sulphate
15721-02-5	2,2',5,5'-Tetrachlorobenzidine
1582-09-8	Trifluralin
1600-27-7	Mercuric acetate
16568-02-8	Gyromitrin
16731-55-8	Potassium metabisulfite
1675-54-3	Bisphenol A diglycidyl ether
1689-82-3	4-Hydroxyazobenzene
16893-85-9	Sodium silicofluoride
16961-83-4	Fluorosilicic acid
1705-85-7	6-Methylchrysene
1706-01-0	3-Methylfluoranthene
17372-87-1	Eosin disodium salt
17924-92-4	Zearalenone
1811-28-5	Proflavine hemisulphate
18307-23-8	Sepiolite
191-07-1	Coronene
191-24-2	Benzo(ghi)perylene
191-26-4	Anthanthrene
1912-24-9	Atrazine
1918-02-1	Picloram
192-47-2	Dibenzo[h,rst]pentaphene
192-51-8	Dibenzo[fg,op]naphthacene
192-65-4	Dibenzo[a,e]pyrene
192-97-2	Benzo(e)pyrene
193-09-9	Dibenzo[de,qr]naphthacene
1936-15-8	Orange G
1954-28-5	Triethylene glycol diglycidyl ether
196-78-1	Benzo(g)chrysene
198-55-0	Perylene
20073-24-9	Ethyl 7-oxo-7H-furo[3,2-g][1]benzopyran-6-carboxylate
202-94-8	11H-Benz[bc]aceanthrylene
202-98-2	4H-Cyclopenta[def]chrysene
20265-97-8	p-Anisidine hydrochloride
20268-51-3	7-Nitrobenzo[a]anthracene
203-12-3	Benzo[ghi]fluoranthene
203-20-3	Dibenz[a,j]aceanthrylene
203-33-8	Benzo(a)fluoranthene
205-12-9	Benzo[c]fluorene
20589-63-3	3-Nitroperylene
206-44-0	Fluoranthene
2068-78-2	Vincristine sulfate
207-83-0	13H-Dibenzo[a,g]fluorene
20941-65-5	Ethyl tellurac
211-91-6	Benz[l]aceanthrylene
21259-20-1	(3.alpha.,4.beta.,8.alpha.)-12,13-Epoxytrichothec-9-ene-3,4,8,15-tetrol 4,15-diacetate 8-(3-methylbutyrate)
213-46-7	Picene
214-17-5	Benzo[b]chrysene
21436-96-4	2,4-Xylidine hydrochloride
21436-97-5	2,4,5-Trimethylaniline hydrochloride
215-58-7	Dibenz[a,c]anthracene
2164-17-2	Fluometuron
2168-68-5	Bis(1-aziridinyl)morpholinophosphine sulphide
217-59-4	Triphenylene
21884-44-6	Luteoskyrin
21908-53-2	Mercuric oxide
22349-59-3	1,4-Dimethylphenanthrene
224-41-9	Dibenz[a,j]anthracene
2243-62-1	1,5-Naphthalenediamine
225-11-6	Benz[a]acridine
225-51-4	Benz[c]acridine
22571-95-5	Symphytine
22966-79-6	Estradiol mustard
22975-76-4	4,4'-Dimethylangelicin plus ultraviolet A radiation
2303-16-4	Diallate
2318-18-5	Senkirkine
23255-69-8	Fusarenon-X
23255-93-8	Hycanthone mesylate
23282-20-4	Nivalenol
2353-45-9	Fast Green FCF
23537-16-8	Rugulosin
23746-34-1	Potassium bis(2-hydroxyethyl) dithiocarbamate
238-84-6	Benzo(a)fluorene
2386-90-5	Bis(2,3-epoxycyclopentyl) ether
239-35-0	Benzo[b]naphtho[2,1-d]thiophene
2425-85-6	C.I. Pigment Red 3
243-17-4	Benzo[b]fluorene
2432-99-7	11-Aminoundecanoic acid
2443-39-2	cis-9,10-Epoxystearic acid
24938-64-5	para-Aramid fibrils
25013-15-4	Vinyltoluene
25038-54-4	Nylon 6
25167-93-5	Chloronitrobenzenes
25732-74-5	3,4-Dihydrocyclopenta[cd]pyrene
25812-30-0	Gemfibrozil
262-12-4	Dibenzo-p-dioxin
26308-28-1	Ripazepam
26447-40-5	Generic MDI
2650-18-2	Brilliant Blue, diammonium salt
26782-43-4	Hydroxysenkirkine
2757-90-6	Agaritine
2783-94-0	Sunset Yellow FCF
2832-40-8	Disperse Yellow 3
2835-39-4	Allyl isovalerate
2871-01-4	Ethanol, 2-[(4-amino-2-nitrophenyl)amino]-
29069-24-7	Prednimustine
29291-35-8	N-Nitrosofolic acid
2955-38-6	Prazepam
298-00-0	Methyl parathion
29975-16-4	Estazolam
301-04-2	Lead acetate
3018-12-0	Dichloroacetonitrile
30310-80-6	N-Nitrosohydroxyproline
304-20-1	Hydralazine hydrochloride
308068-56-6	Carbon nanotubes
3105-97-3	Hycanthone
3118-97-6	2-Naphthalenol, 1-[(2,4-dimethylphenyl)azo]-
314-13-6	Evans Blue Dye
315-18-4	Zectran
3173-72-6	Naphthalene, 1,5-diisocyanato-
3268-87-9	Octachlorodibenzo-p-dioxin
33229-34-4	HC Blue No. 2
334-88-3	Diazomethane
3351-28-8	1-Methylchrysene
3351-30-2	4-Methylchrysene
3351-31-3	3-Methylchrysene
3351-32-4	2-Methylchrysene
33543-31-6	2-Methylfluoranthene
3567-69-9	Carmoisine
37620-20-5	N'-Nitrosoanabasine
3778-73-2	Isophosphamide
3844-45-9	Brilliant Blue FCF, disodium salt
38571-73-2	1,2,3-Tris(chloromethoxy)propane
3902-71-4	4,5',8-Trimethylpsoralen
39227-28-6	1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin
4063-41-6	4,5'-Dimethylangelicin
40762-15-0	Doxefazepam
420-12-2	Ethylene sulfide
439-14-5	Diazepam
4548-53-2	C.I. Food Red 1
4657-93-6	5-Aminoacenaphthene
4680-78-8	Guinea Green B
480-54-6	Retrorsine
480-81-9	Seneciphylline
492-17-1	2,4'-Diphenyldiamine
493-52-7	Benzoic acid, 2-[[4-(dimethylamino)phenyl]azo]-
494-38-2	3,6-Acridinediamine, N,N,N',N'-tetramethyl-
50-33-9	Phenylbutazone
50-41-9	Clomiphene citrate
50-44-2	6-Mercaptopurine
50-55-5	Reserpine
50-76-0	Actinomycin D
501-30-4	Kojic acid
51-02-5	Pronetalol hydrochloride
51-03-6	Piperonyl butoxide
51-18-3	Triethylenemelamine
51-21-8	5-Fluorouracil
51-71-8	Phenelzine
510-15-6	Chlorobenzilate
5131-60-2	1,3-Benzenediamine, 4-chloro-
5141-20-8	Light Green SF
51481-10-8	Deoxynivalenol
51481-61-9	Cimetidine
5160-02-1	D and C Red No. 9
51630-58-1	Fenvalerate
51786-53-9	2,5-Xylidine hydrochloride
518-75-2	Citrinin
52-01-7	Spironolactone
52-46-0	Apholate
52-68-6	Trichlorfon
520-18-3	Kaempferol
52221-67-7	Tetrakis(hydroxymethyl)phosphonium oxalate (2:1)
523-44-4	Orange I
523-50-2	Angelicin
52645-53-1	Permethrin
52918-63-5	Deltamethrin
53-03-2	Prednisone
5307-14-2	1,4-Diamino-2-nitrobenzene
531-73-7	Acridine-3,6-diamine dihydrochloride
532-82-1	1,3-Benzenediamine, 4-(2-phenyldiazenyl)-, hydrochloride (1:1)
536-33-4	Ethionamide
5385-75-1	Dibenzo[a,e]fluoranthene
54-05-7	Chloroquine
54-31-9	Furosemide
54-85-3	Isonicotinic acid hydrazide
541-69-5	m-Phenylenediamine dihydrochloride
541-73-1	1,3-Dichlorobenzene
542-78-9	Malonaldehyde
5431-33-4	Glycidyl oleate
545-06-2	Trichloroacetonitrile
545-55-1	Tris(1-aziridinyl)phosphine oxide
5456-28-0	Ethyl selenac
551-74-6	Mannomustine dihydrochloride
55557-01-2	N-Nitrosoguvacine
55557-02-3	N-Nitrosoguvacoline
55566-30-8	Tetrakis(hydroxymethyl)phosphonium sulfate
56-25-7	Cantharidin
562-10-7	Doxylamine hydrogen succinate
563-41-7	Semicarbazide hydrochloride
56894-91-8	1,4-Bis(chloromethoxymethyl)benzene
569-64-2	Malachite green chloride
57-06-7	Allyl isothiocyanate
57-39-6	Tris(2-methyl-1-aziridinyl)phosphine oxide
57-68-1	Sulfamethazine
57-88-5	Cholesterol
576-68-1	Mannomustine
58-08-2	Caffeine
58-14-0	Pyrimethamine
58-27-5	Menadione
58-55-9	Theophylline
581-89-5	2-Nitronaphthalene
59-05-2	Methotrexate
59-87-0	Nitrofural
59277-89-3	Aciclovir
593-70-4	Chlorofluoromethane
598-55-0	Methyl carbamate
59820-43-8	HC Yellow No. 4
5989-27-5	D-Limonene
60-56-0	Methimazole
60102-37-6	Petasitenine
602-60-8	9-Nitroanthracene
603-48-5	Leucogentian violet
60676-86-0	Vitreous silica
6080-56-4	Acetic acid, lead(2+) salt, trihydrate
609-20-1	2,6-Dichloro-p-phenylenediamine
61-82-5	Amitrole
6164-98-3	Chlordimeform
61790-14-5	Lead naphthenate
61790-53-2	Diatomaceous earth (uncalcined)
618-85-9	3,5-Dinitrotoluene
62-38-4	Phenylmercury acetate
62-56-6	Thiourea
624-18-0	p-Phenylenediamine dihydrochloride
627-12-3	n-Propyl carbamate
63-25-2	Carbaryl
63041-90-7	6-Nitrobenzo(a)pyrene
6334-11-8	2,4,6-Trimethylaniline hydrochloride
6368-72-5	C.I. Solvent Red 19
6369-59-1	2,5-Diaminotoluene sulfate
637-07-0	Clofibrate
6373-74-6	C.I. Acid Orange 3
63800-37-3	Sepiolite (Mg2H2(SiO3)3.xH2O)
64091-90-3	Butanal, 4-(N-methyl-N-nitrosamino)-4-(3-pyridyl)-
64093-79-4	Neochromium
641-48-5	Dihydroaceanthrylene
6416-57-5	1,3-Benzenediamine, 4-(1-naphthalenylazo)-
64436-13-1	Arsonium, (carboxymethyl)trimethyl-, inner salt
6485-34-3	Calcium saccharin
66230-04-4	Esfenvalerate
67-20-9	Nitrofurantoin
67-45-8	Furazolidone
67-63-0	Isopropanol
68-76-8	Tris(aziridinyl)-para-benzoquinone
6870-67-3	Jacobine
68916-96-1	MATE
69-53-4	Ampicillin
69655-05-6	2',3'-Dideoxyinosine
69657-51-8	Aciclovir sodium
70-30-4	Hexachlorophene
7099-43-6	5,6-Cyclopento-1,2-benzanthracene
71267-22-6	N'-Nitrosoanatabine
71631-40-8	Chromium-containing stainless steels
72-20-8	Endrin
72-43-5	Methoxychlor
723-46-6	Sulfamethoxazole
73459-03-7	5-Methylangelicin
74-83-9	Methyl bromide
74-85-1	Ethylene
74-87-3	Methyl chloride
74-88-4	Methyl iodide
74-96-4	Bromoethane
7439-97-6	Mercury metal
7440-47-3	Chromium metal
7446-09-5	Sulfur dioxide
7460-84-6	Glycidyl stearate
7487-94-7	Mercuric chloride
75-00-3	Chloroethane
75-25-2	Bromoform
75-38-7	Vinylidene fluoride
75-45-6	Chlorodifluoromethane
75-65-0	tert-Butyl alcohol
75-74-1	Tetramethyllead
75-88-7	2-Chloro-1,1,1-trifluoroethane
7519-36-0	N-Nitrosoproline
7572-29-4	Dichloroacetylene
76-01-7	Pentachloroethane
7631-86-9	Silica, amorphous
7631-90-5	Sodium bisulfite
7647-01-0	Hydrochloric acid
7681-49-4	Sodium fluoride
7681-52-9	Sodium hypochlorite
7681-57-4	Sodium metabisulfite
7722-84-1	Hydrogen peroxide
7757-83-7	Sodium sulfite
7758-19-2	Sodium chlorite
7778-54-3	Calcium hypochlorite
7778-66-7	Potassium hypochlorite
7782-49-2	Selenium
7783-47-3	Stannous fluoride
7789-04-0	Chromic phosphate
78-00-2	Tetraethyllead
78-98-8	Pyruvic aldehyde
789-07-1	2-Nitropyrene
79-00-5	1,1,2-Trichloroethane
79-10-7	Acrylic acid
794-93-4	Panfuran S
80-08-0	Dapsone
80-62-6	Methyl methacrylate
800-24-8	Aziridyl benzoquinone
8001-50-1	Strobane
8002-05-9	Crude oil
8018-07-3	Acriflavinium chloride
804-36-4	Nitrovin
8047-67-4	Saccharated iron oxide
81-07-2	Saccharin
81-15-2	Musk xylene
81-88-9	Rhodamine B
82-28-0	1-Amino-2-methylanthraquinone
82-68-8	Quintozene
82413-20-5	Droloxifene
828-00-2	Dimethoxane
83-32-9	Acenaphthene
83-63-6	Diacetylaminoazotoluene
83-66-9	Benzene, 1-(1,1-dimethylethyl)-2-methoxy-4-methyl-3,5-dinitro-
83-67-0	Theobromine
832-69-9	1-Methylphenanthrene
83463-62-1	Bromochloroacetonitrile
84-80-0	Phylloquinone
842-07-9	Sudan I
84237-39-8	N'-Nitrosoanabasine
846-50-4	Temazepam
84650-16-8	Madder (Rubia), R. tinctorum, extract
85-01-8	Phenanthrene
85-68-7	Butyl benzyl phthalate
85-83-6	Scarlet Red
85-84-7	Yellow AB
85-86-9	C.I. Solvent Red 23
85502-23-4	3-(N-Nitrosomethylamino)propionaldehyde
85878-62-2	Pyrido[3,4-c]psoralen
85878-63-3	7-Methylpyrido[3,4-c]psoralen
86-30-6	Diphenylnitrosamine
86-54-4	Hydralazine
86-57-7	1-Nitronaphthalene
86-73-7	Fluorene
86-88-4	1-(1-Naphthyl)-2-thiourea
87-29-6	Cinnamyl anthranilate
87-68-3	Hexachlorobutadiene
87625-62-5	Ptaquiloside
88-05-1	Aniline, 2,4,6-trimethyl-
88-12-0	N-Vinyl-2-pyrrolidone
892-21-7	3-Nitrofluoranthene
89778-26-7	Toremifene
90-43-7	ortho-Phenylphenol
90-65-3	Penicillic acid
9000-07-1	Carrageenan
9002-84-0	Polytetrafluoroethylene
9002-86-2	Polyvinyl chloride
9002-88-4	Polyethylene
9002-89-5	Polyvinyl alcohol
9003-01-4	Polyacrylic acid
9003-07-0	Polypropylene
9003-20-7	Polyvinyl acetate
9003-22-9	Vinyl chloride-vinyl acetate copolymer
9003-39-8	Polyvinylpyrrolidone
9003-53-6	Polystyrene
9003-54-7	Styrene-acrylonitrile copolymer
9003-55-8	Styrene-butadiene copolymer
9003-56-9	Acrylonitrile-butadiene-styrene polymer
9004-51-7	Dextriferron
9009-54-5	Polyurethane foam
9010-98-4	Polychloroprene
9011-06-7	Vinylidene chloride-vinyl chloride copolymer
9011-14-7	Poly(methyl methacrylate)
9016-87-9	Polymethylene polyphenyl isocyanate
90370-29-9	4,4',6-Trimethylangelicin
91-64-5	Coumarin
91-93-0	3,3'-Dimethoxybenzidine-4,4'-diisocyanate
911-45-5	Clomiphene
915-67-3	Amaranth
92-62-6	3,6-Acridinediamine
92-93-3	4-Nitrobiphenyl
94-36-0	Benzoyl peroxide
95-47-6	o-Xylene
95-50-1	ortho-Dichlorobenzene
95-68-1	Benzenamine, 2,4-dimethyl-
95-70-5	2,5-Diaminotoluene
95-78-3	2,5-Xylidine
95-79-4	Benzenamine, 5-chloro-2-methyl-
952-23-8	Proflavine monohydrochloride
96-45-7	Ethylenethiourea
96-48-0	.gamma.-Butyrolactone
97-53-0	Eugenol
97-77-8	Disulfiram
98-01-1	Furfural
98-88-4	Benzoyl chloride
989-38-8	Rhodamine 6G
99-08-1	m-Nitrotoluene
99-55-8	Benzenamine, 2-methyl-5-nitro-
99-56-9	1,2-Benzenediamine, 4-nitro-
99-57-0	2-Amino-4-nitrophenol
99-59-2	5-Nitro-ortho-anisidine
99-80-9	N-Methyl-N,4-dinitrosoaniline
99-99-0	p-Nitrotoluene
994-05-8	Butane, 2-methoxy-2-methyl-
LU|Amorphous silica	Amorphous silica
LU|Ampicillin	Ampicillin
LU|Antimony trisulphide	Antimony trisulphide
LU|Chloronitrobenzenes	Chloronitrobenzenes
LU|Chromium and Chromium compounds	Chromium and Chromium compounds
LU|Crotonaldehyde	Crotonaldehyde
LU|Cyanobacterial peptide toxins	Cyanobacterial peptide toxins
LU|Cyclamates	Cyclamates
LU|Deltamethrin	Deltamethrin
LU|Droloxifene	Droloxifene
LU|Fenvalerate	Fenvalerate
LU|Fluorides inorganic used in drinking-water	Fluorides inorganic used in drinking-water
LU|Hydralazine	Hydralazine
LU|Hypochlorite salts	Hypochlorite salts
LU|Lead and Lead compounds	Lead and Lead compounds
LU|Malachite green	Malachite green
LU|Man-made mineral fibres	Man-made mineral fibres
LU|Mercury and Mercury compounds	Mercury and Mercury compounds
LU|Methylene blue	Methylene blue
LU|Nitrofurantoin	Nitrofurantoin
LU|Organic lead compounds	Organic lead compounds
LU|Organolead compounds	Organolead compounds
LU|Permethrin	Permethrin
LU|Polychlorinated dibenzo-para-dioxins other than 2378-tetrachlorodibenzodioxin	Polychlorinated dibenzo-para-dioxins other than 2378-tetrachlorodibenzodioxin
LU|Polychlorinated dibenzofurans	Polychlorinated dibenzofurans
LU|Saccharin	Saccharin
LU|Saccharin and its salts	Saccharin and its salts
LU|Salted fish	Salted fish
LU|Sepiolite	Sepiolite
LU|Sodium chlorite	Sodium chlorite
LU|Sulfamethazine and its sodium salt	Sulfamethazine and its sodium salt
LU|Sulfur dioxide and some sulfites bisulfites and metabisulfites	Sulfur dioxide and some sulfites bisulfites and metabisulfites
LU|Tetrakis(hydroxymethyl)phosphonium salts	Tetrakis(hydroxymethyl)phosphonium salts
LU|Toremifene	Toremifene
LU|Toxins derived from Fusarium graminearum F. culmorum and F. crookwellense	Toxins derived from Fusarium graminearum F. culmorum and F. crookwellense
LU|Toxins derived from Fusarium sporotrichioides	Toxins derived from Fusarium sporotrichioides
LU|Vinyl toluene	Vinyl toluene
LU|Vitamin K substances	Vitamin K substances
LU|Xylenes	Xylenes
LU|Zeolites other than erionite	Zeolites other than erionite
LU|combined exposures to .alpha.-Chlorinated toluenes and Benzoyl chloride	combined exposures to .alpha.-Chlorinated toluenes and Benzoyl chloride
LU|para-Aramid fibrils	para-Aramid fibrils
LU|trans-1,4-Dichlorobutene	trans-1,4-Dichlorobutene
RR-00015-7	Glass wool fibers
RR-00177-4	Bisulfites
RR-00316-7	Paint manufacture and painting
RR-00341-8	Printing ink
RR-00569-6	Mercury inorganic compounds
RR-00599-2	Fluorides, inorganic
RR-00612-2	Selenium compounds
RR-00813-9	Isopropyl oil
RR-01023-1	Chlorinated water
RR-01025-3	Cyclamates
RR-01201-1	Rockwool
RR-01202-2	Slagwool
RR-01524-7	Acrylic fibres
RR-01525-8	Anaesthetics, volatile
RR-01537-2	Modacrylic fibres
RR-01539-4	Proflavine salts
RR-01545-2	Continuous glass filaments
RR-01546-3	Petroleum solvents
RR-01547-4	Hypochlorite salts
RR-01548-5	Tetrakis(hydroxymethyl) phosphonium salts
RR-01549-6	Jet fuels
RR-01551-0	Metabisulfites
RR-01552-1	Sulfites
RR-01701-6	Hair colouring products (personal use of)
RR-01703-8	Toxins derived from fusarium graminearum, f. culmorum and f. crookwellense
RR-01704-9	Toxins derived from Fusarium sporotrichioides
RR-02509-2	Leather goods manufacture
RR-02510-5	Leather tanning and processing
RR-02511-6	Lumber and sawmill industries (including logging)
RR-02512-7	Pulp and paper manufacture
RR-02632-4	Lead organic compounds
RR-03631-7	Fluorescent lighting
RR-03632-8	Hepatitis D virus
RR-03633-9	Human T-cell lymphotropic virus type II
RR-03634-0	Opisthorchis felineus (infection with)
RR-03635-1	Schistosoma mansoni (infection with)
RR-03636-2	Diesel fuels, distillate (light)
RR-03637-3	Fuel oils, distillate (light)
RR-03638-4	Flat-glass and specialty glass (manufacture of)
RR-03889-1	Chromium(III) compounds
RR-04063-1	Foreign bodies, implanted in tissues, containing:  Metallic chromium or titanium, cobalt-based, chromium-based and titanium-based alloys, stainless steel and depleted uranium
RR-04064-2	Saccharin salts
RR-04065-3	Surgical implants:  orthopaedic implants and devices, of complex composition; cardiac pacemakers; dental materials; ceramic materials
RR-04126-9	Surgical implants: female breast reconstruction, silicone
RR-04127-0	Vitamin K substances
RR-04128-1	Tea (beverage)
RR-10392-4	Electric fields (extremely low-frequency)
RR-10393-5	Electric fields (static)
RR-10394-6	Magnetic fields (static)
RR-146126-3	Drinking mate that is not very hot
RR-146127-4	Coffee drinking
RR-16472-7	Cobalt(II) compounds
RR-192911-9	Pentavalent antimony compounds
RR-42457-7	Organic polymeric materials
RR-57110-8	Human papillomavirus type 6
RR-57111-9	Human papillomavirus type 11
RR-57176-6	Calcium carbide production (occupational exposures during)
RR-57646-5	Mineral oil, highly and severely refined
RR-64365-2	Human papillomavirus genus beta (except types 5 and 8) and genus gamma
RR-86328-5	Simian virus 40
a	Benz
c	Benz
